symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be
BTC/USDT,1h,base,full,local,bos,0,ote,zero,252,140,139,0.6071,0.3214,0.3857,0.0970,0.1887,74,0.0075,0.0676,66,0.1959,0.3226
BTC/USDT,1h,base,full,local,bos,0,ote,tight,252,140,139,0.5214,0.2429,0.4714,0.1210,0.1842,74,0.0234,0.0750,66,0.2290,0.3050
BTC/USDT,1h,base,full,local,bos,0,deep,zero,252,67,67,0.2985,0.1940,0.7015,0.1018,0.2152,38,0.1656,0.2297,29,0.0182,0.1962
BTC/USDT,1h,base,full,local,bos,0,breaker,zero,127,78,78,0.8205,0.4487,0.1795,0.1569,0.3051,38,0.1132,0.2853,40,0.1985,0.3239
BTC/USDT,1h,base,full,local,bos,5,ote,zero,165,78,77,0.6282,0.3077,0.3590,0.1416,0.2110,34,-0.0759,-0.1238,44,0.3046,0.4621
BTC/USDT,1h,base,full,local,bos,5,ote,tight,165,78,77,0.5128,0.2051,0.4744,0.1089,0.1209,34,-0.2238,-0.3406,44,0.3583,0.4671
BTC/USDT,1h,base,full,local,bos,5,deep,zero,165,22,22,0.4091,0.3182,0.5909,0.5100,0.8041,10,0.8455,0.9691,12,0.2304,0.6667
BTC/USDT,1h,base,full,local,bos,5,breaker,zero,65,33,33,0.8788,0.3636,0.1212,0.2391,0.3153,9,0.2533,0.3061,24,0.2338,0.3188
BTC/USDT,1h,base,full,local,choch,0,ote,zero,162,120,119,0.5500,0.3083,0.4417,-0.0051,0.0960,64,-0.0888,0.0375,56,0.0891,0.1618
BTC/USDT,1h,base,full,local,choch,0,ote,tight,162,120,120,0.4500,0.2333,0.5500,-0.0395,0.0498,64,-0.1995,-0.0663,56,0.1435,0.1823
BTC/USDT,1h,base,full,local,choch,0,deep,zero,162,76,75,0.2895,0.1974,0.6974,0.0827,0.2189,44,-0.0558,0.0939,32,0.2688,0.3869
BTC/USDT,1h,base,full,local,choch,0,breaker,zero,100,70,70,0.6143,0.3143,0.3857,-0.1339,-0.0382,35,-0.1943,-0.1100,35,-0.0734,0.0336
BTC/USDT,1h,base,full,local,choch,5,ote,zero,77,52,51,0.6346,0.3654,0.3462,0.1608,0.2888,28,0.1295,0.3770,24,0.1959,0.1896
BTC/USDT,1h,base,full,local,choch,5,ote,tight,77,52,52,0.5385,0.3077,0.4615,0.1494,0.2982,28,0.0673,0.3636,24,0.2452,0.2218
BTC/USDT,1h,base,full,local,choch,5,deep,zero,77,21,20,0.3810,0.2857,0.5714,0.4764,0.7346,14,0.7036,1.1035,7,0.0546,0.0494
BTC/USDT,1h,base,full,local,choch,5,breaker,zero,42,24,24,0.6667,0.4583,0.3333,-0.0600,0.1265,15,-0.1540,0.0520,9,0.0967,0.2506
BTC/USDT,1h,base,full,global,bos,0,ote,zero,252,126,122,0.5873,0.2857,0.3810,0.0881,0.1522,57,0.0571,0.0630,69,0.1144,0.2278
BTC/USDT,1h,base,full,global,bos,0,ote,tight,252,126,122,0.4286,0.1746,0.5397,-0.0552,-0.0401,57,-0.1614,-0.1734,69,0.0349,0.0731
BTC/USDT,1h,base,full,global,bos,0,deep,zero,252,36,36,0.4722,0.3889,0.5278,0.7430,1.1399,15,0.9686,1.1358,21,0.5819,1.1429
BTC/USDT,1h,base,full,global,bos,0,breaker,zero,111,52,52,0.6923,0.3462,0.3077,-0.0238,0.0783,20,-0.0835,-0.0757,32,0.0134,0.1745
BTC/USDT,1h,base,full,global,bos,5,ote,zero,244,121,117,0.5785,0.2645,0.3884,0.0733,0.1183,54,0.0493,0.0315,67,0.0932,0.1902
BTC/USDT,1h,base,full,global,bos,5,ote,tight,244,121,117,0.4132,0.1570,0.5537,-0.0878,-0.0905,54,-0.1945,-0.2414,67,0.0006,0.0345
BTC/USDT,1h,base,full,global,bos,5,deep,zero,244,33,33,0.4545,0.3636,0.5455,0.6778,1.0314,14,1.1092,1.2883,19,0.3599,0.8421
BTC/USDT,1h,base,full,global,bos,5,breaker,zero,107,51,51,0.6863,0.3333,0.3137,-0.0324,0.0620,20,-0.0835,-0.0757,31,0.0006,0.1508
BTC/USDT,1h,base,full,global,choch,0,ote,zero,162,116,115,0.5259,0.3103,0.4655,-0.0485,0.0644,63,-0.1609,-0.0300,53,0.0831,0.1748
BTC/USDT,1h,base,full,global,choch,0,ote,tight,162,116,116,0.4224,0.2069,0.5776,-0.0983,-0.0325,63,-0.2546,-0.1246,53,0.0874,0.0770
BTC/USDT,1h,base,full,global,choch,0,deep,zero,162,66,65,0.3030,0.2273,0.6818,0.1357,0.3343,36,0.1601,0.3439,30,0.1073,0.3230
BTC/USDT,1h,base,full,global,choch,0,breaker,zero,95,62,62,0.5968,0.3871,0.4032,-0.1585,-0.0080,28,-0.3454,-0.1888,34,-0.0047,0.1409
BTC/USDT,1h,base,full,global,choch,5,ote,zero,106,74,73,0.5676,0.3108,0.4189,0.0321,0.1292,41,-0.0582,0.0950,33,0.1416,0.1707
BTC/USDT,1h,base,full,global,choch,5,ote,tight,106,74,74,0.4865,0.2432,0.5135,0.0384,0.1216,41,-0.0629,0.1202,33,0.1643,0.1233
BTC/USDT,1h,base,full,global,choch,5,deep,zero,106,32,31,0.2813,0.2188,0.6875,0.0716,0.2804,18,0.0856,0.3144,14,0.0546,0.2390
BTC/USDT,1h,base,full,global,choch,5,breaker,zero,57,35,35,0.6286,0.4000,0.3714,-0.1137,0.0394,19,-0.2579,-0.0689,16,0.0575,0.1681
BTC/USDT,1h,pw3,full,local,bos,0,ote,zero,227,139,138,0.6043,0.3381,0.3885,0.0919,0.2022,75,-0.0061,0.0811,64,0.2053,0.3421
BTC/USDT,1h,pw3,full,local,bos,0,ote,tight,227,139,138,0.5108,0.2518,0.4820,0.0982,0.1808,75,0.0096,0.0804,64,0.2007,0.2968
BTC/USDT,1h,pw3,full,local,bos,0,deep,zero,227,67,67,0.3284,0.1791,0.6716,0.2120,0.2456,40,0.1996,0.2268,27,0.2304,0.2734
BTC/USDT,1h,pw3,full,local,bos,0,breaker,zero,119,79,79,0.8101,0.4430,0.1899,0.1423,0.2885,39,0.0846,0.2523,40,0.1985,0.3239
BTC/USDT,1h,pw3,full,local,bos,5,ote,zero,143,74,73,0.6081,0.3108,0.3784,0.1058,0.1866,33,-0.1031,-0.1401,41,0.2689,0.4416
BTC/USDT,1h,pw3,full,local,bos,5,ote,tight,143,74,73,0.4865,0.2027,0.5000,0.0527,0.0763,33,-0.1995,-0.3200,41,0.2495,0.3855
BTC/USDT,1h,pw3,full,local,bos,5,deep,zero,143,19,19,0.4737,0.3684,0.5263,0.7484,1.0890,9,1.0506,1.1879,10,0.4764,1.0000
BTC/USDT,1h,pw3,full,local,bos,5,breaker,zero,56,29,29,0.8621,0.3793,0.1379,0.2155,0.3062,8,0.2338,0.2306,21,0.2086,0.3350
BTC/USDT,1h,pw3,full,local,choch,0,ote,zero,142,106,105,0.5377,0.3208,0.4528,-0.0262,0.0929,57,-0.0070,0.1607,49,-0.0481,0.0153
BTC/USDT,1h,pw3,full,local,choch,0,ote,tight,142,106,106,0.4340,0.2453,0.5660,-0.0737,0.0423,57,-0.1761,-0.0066,49,0.0455,0.0991
BTC/USDT,1h,pw3,full,local,choch,0,deep,zero,142,73,72,0.3151,0.2466,0.6712,0.1791,0.4129,40,0.3250,0.5907,33,0.0067,0.2028
BTC/USDT,1h,pw3,full,local,choch,0,breaker,zero,88,63,63,0.6349,0.3492,0.3651,-0.1048,0.0113,30,-0.1540,-0.0185,33,-0.0600,0.0383
