symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be,sweep_in,sweep_ev_full,sweep_ev_be,nosweep_in,nosweep_ev_full,nosweep_ev_be
LINK/USDT,15m,base,full,local,bos,0,ote,zero,226,139,136,0.6547,0.3525,0.3237,0.2003,0.3069,74,0.2956,0.4107,65,0.0932,0.1902,83,0.2907,0.4587,56,0.0630,0.0765
LINK/USDT,15m,base,full,local,bos,0,ote,tight,226,139,136,0.5540,0.3094,0.4245,0.2085,0.3541,74,0.3341,0.4717,65,0.0673,0.2219,83,0.3536,0.6060,56,-0.0118,-0.0284
LINK/USDT,15m,base,full,local,bos,0,deep,zero,226,74,74,0.3243,0.1892,0.6757,0.1971,0.2629,43,0.2018,0.3192,31,0.1907,0.1848,47,0.2565,0.2503,27,0.0937,0.2849
LINK/USDT,15m,base,full,local,bos,0,breaker,zero,106,64,63,0.8281,0.4219,0.1563,0.1862,0.3159,33,0.2337,0.3628,31,0.1371,0.2674,44,0.2788,0.4700,20,-0.0130,-0.0155
LINK/USDT,15m,base,full,local,bos,5,ote,zero,146,73,70,0.6301,0.3425,0.3288,0.1788,0.2870,38,0.3454,0.4782,35,0.0025,0.0845,32,0.2731,0.4246,41,0.1039,0.1775
LINK/USDT,15m,base,full,local,bos,5,ote,tight,146,73,70,0.4932,0.2877,0.4658,0.0978,0.2489,38,0.3044,0.4909,35,-0.1211,-0.0073,32,0.3083,0.5797,41,-0.0696,-0.0140
LINK/USDT,15m,base,full,local,bos,5,deep,zero,146,26,26,0.5000,0.3077,0.5000,0.8455,0.9895,14,0.8455,0.9312,12,0.8455,1.0576,11,0.6778,0.5488,15,0.9686,1.3127
LINK/USDT,15m,base,full,local,bos,5,breaker,zero,54,20,19,0.8000,0.4000,0.1500,0.1874,0.3116,11,0.1280,0.2460,9,0.2533,0.3844,10,0.4100,0.5967,10,-0.0130,0.0550
LINK/USDT,15m,base,full,local,choch,0,ote,zero,186,135,135,0.5185,0.3037,0.4815,-0.0698,0.0381,72,-0.0283,0.0723,63,-0.1173,-0.0011,104,-0.0686,0.0432,31,-0.0741,0.0209
LINK/USDT,15m,base,full,local,choch,0,ote,tight,186,135,135,0.4370,0.2519,0.5630,-0.0671,0.0568,72,-0.0217,0.1079,63,-0.1191,-0.0017,104,-0.0353,0.1058,31,-0.1737,-0.1076
