case_id,kind,symbol,feed,timeframe,signal_local_time_utc_plus_5,no_signal_bar_local_time_utc_plus_5,direction,mode,signal_visible,entry,add,stop,partial,full,notes
P01,positive,,,,,,,,,,,,,,
P02,positive,,,,,,,,,,,,,,
P03,positive,,,,,,,,,,,,,,
P04,positive,,,,,,,,,,,,,,
P05,positive,,,,,,,,,,,,,,
P06,positive,,,,,,,,,,,,,,
P07,positive,,,,,,,,,,,,,,
P08,positive,,,,,,,,,,,,,,
P09,positive,,,,,,,,,,,,,,
P10,positive,,,,,,,,,,,,,,
P11,positive,,,,,,,,,,,,,,
P12,positive,,,,,,,,,,,,,,
N01,no_signal,,,,,,,,,,,,,,
N02,no_signal,,,,,,,,,,,,,,
N03,no_signal,,,,,,,,,,,,,,
N04,no_signal,,,,,,,,,,,,,,
N05,no_signal,,,,,,,,,,,,,,
N06,no_signal,,,,,,,,,,,,,,
N07,no_signal,,,,,,,,,,,,,,
N08,no_signal,,,,,,,,,,,,,,
N09,no_signal,,,,,,,,,,,,,,
N10,no_signal,,,,,,,,,,,,,,
N11,no_signal,,,,,,,,,,,,,,
N12,no_signal,,,,,,,,,,,,,,
