time,open,high,low,close,GGI Mean,GGI Upper Outer,GGI Upper Inner,GGI Lower Inner,GGI Lower Outer,Shapes,Shapes
1772320500,66931,67028.8,66852,66863.3,64815.80499209188,68282.15454374015,66815.86458080141,62875.61499249095,61525.42497881713,0,0
1772321400,66863.3,66989.9,66700,66857.9,64836.759465009374,68323.17244428434,66848.27770338324,62885.76942216007,61528.25209267865,0,0
1772322300,66857.9,67022.1,66857.9,66939.6,64858.808173528385,68362.63508284444,66880.27216834555,62898.44316275926,61534.56478956313,0,0
1772323200,66939.6,67091,66770.7,66880.4,64881.859486280635,68402.02334381339,66912.65410523124,62912.69934946959,61542.85333400458,0,0
1772324100,66880.4,67000,66727.7,66744.5,64905.76465057141,68440.76210704289,66945.03161095746,62928.61745674084,61553.35147037838,0,0
1772325000,66744.5,66800,66580.5,66606.9,64930.313000467155,68478.18632686266,66976.93492275695,62946.2299402144,61566.2559492292,0,0
1772325900,66606.9,66850,66604.8,66762.9,64955.52613295374,68514.63526299996,67008.56711542468,62965.3872159522,61581.30097333156,0,0
1772326800,66762.9,66767.5,66136,66275.3,64981.02564863042,68553.47373715437,67041.68524709718,62983.70452331067,61594.74442590427,0,0
1772327700,66275.3,66435,65973.2,66319.9,65006.633073949335,68592.80846809794,67075.13235605753,63001.9232936996,61607.950424956056,0,0
1772328600,66319.9,66754.2,66259.8,66603.6,65032.59988854101,68633.16908039272,67109.31861162679,63020.1458718185,61620.920393595574,0,0
1772329500,66603.6,67690.3,66586.8,67313.5,65059.50391228734,68680.8561821837,67148.08580167242,63035.88551749169,61629.09556754963,0,0
1772330400,67313.5,68183.2,67307.2,67868.6,65087.82875354469,68733.86796124277,67190.49917969466,63050.95963821965,61635.19641059002,0,0
1772331300,67868.6,68070.2,67595.9,67732.4,65117.499817818665,68788.16249423963,67234.2212424238,63067.41870683043,61642.71044278438,0,0
1772332200,67732.4,68070,67617.7,68039.3,65148.53376262079,68843.53592938994,67279.14298265036,63085.39709719325,61651.85146463978,0,0
1772333100,68039.3,68149.9,67578.9,67587.8,65180.717004528786,68900.87358627934,67325.67719838078,63104.09409928143,61661.42238972284,0,0
1772334000,67587.8,67784.5,67579.6,67698.5,65213.89212455676,68956.51613672354,67371.67042408585,63125.22309841529,61674.39952449141,0,0
1772334900,67698.5,67737.2,67361.5,67537.6,65247.85377655152,69011.96223526793,67417.88886659684,63147.66739240897,61689.05048566499,0,0
1772335800,67537.6,67629.5,67400.6,67619.3,65282.54097283233,69065.78275454267,67463.4921613862,63172.09529673364,61706.535217530996,0,0
1772336700,67619.3,67676.7,67382,67477.7,65317.85539673626,69118.58086731072,67508.78205085744,63198.03296724948,61726.12602997946,0,0
1772337600,67477.7,67588.6,67240,67255,65353.59626711831,69170.71725446387,67553.87780925252,63224.9795800843,61747.11951204856,0,0
1772338500,67255,67324,67044.9,67295,65389.5807969687,69221.37937308283,67598.23799977078,63253.0877035256,61769.89415015859,0,0
1772339400,67295,67414,67226.3,67364.2,65425.87143323854,69269.81674393144,67641.46226091999,63282.85211054277,61795.23570305486,0,0
1772340300,67364.2,67383,67256.2,67320.7,65462.40720250412,69315.48036461187,67683.21187885021,63314.47101560425,61823.51668350092,0,0
1772341200,67320.7,67446.1,67172.5,67300,65499.13048267902,69359.83093945561,67724.29423568686,63347.07718115067,61853.32397554262,0,0
1772342100,67300,67561.1,67290.6,67427,65536.11154005631,69402.96674369818,67764.7956637843,63380.72554811938,61884.70201355893,0,0
1772343000,67427,67528.9,67328.9,67352.3,65573.28327818114,69444.20216984465,67804.2968232316,63415.678376408476,61918.13492743608,0,0
