time,open,high,low,close,GGI Mean,GGI Upper Outer,GGI Upper Inner,GGI Lower Inner,GGI Lower Outer,Shapes,Shapes
1750384800,104729.9,104770.4,104461.7,104583.5,105148.69441992171,110751.14856706267,108381.40032084212,102012.41085171622,99829.64584353032,0,0
1750388400,104583.5,104663.2,104447.1,104555.1,105131.0283005182,110711.80221453693,108351.35173881263,102006.41647893003,99831.57071282067,0,0
1750392000,104555.1,104555.9,104191.9,104208.5,105113.3456902134,110671.4012647952,108320.69303765746,102000.9670575982,99834.42258722855,0,0
1750395600,104208.5,104549.8,104208.4,104549.8,105095.77844961979,110629.93007234346,108289.47174900342,101996.27414872132,99838.46722771048,0,0
1750399200,104549.8,104720.4,104549.8,104683,105078.54725269943,110586.01561467616,108256.99836518079,101993.41621769108,99845.36499814394,0,0
1750402800,104683,105780.9,104597.7,105769.9,105062.36075439365,110550.4060364658,108229.7148374776,101987.69962446672,99846.75808106361,0,0
1750406400,105769.9,106499.9,105743.1,105913.3,105047.83076019619,110519.2266011334,108205.67168572178,101982.14728959485,99847.30337689184,0,0
1750410000,105913.3,106041.7,105689.9,105900.1,105034.73142361025,110488.23634053514,108182.35001200509,101978.69434344584,99850.4019127192,0,0
1750413600,105900.1,106117.4,105770.2,105904.9,105023.06408336217,110457.46418192316,108159.76676732211,101977.32779126517,99856.03119850617,0,0
1750417200,105904.9,106027.6,105745.5,105923.7,105012.7468403435,110426.27112369704,108137.52163241059,101978.26649329183,99864.6145227626,0,0
1750420800,105923.7,106057,105810.7,105934,105003.76410695227,110394.39452850544,108115.45763502497,101981.62887909355,99876.36169136703,0,0
1750424400,105934,106103.4,105320,105620,104995.82414713899,110366.84254210451,108096.31067330678,101984.26773004774,99886.18714113595,0,0
1750428000,105620,105749.9,103811,103860.4,104987.72464108923,110353.57159203093,108085.25407118334,101978.96484615719,99882.78735610173,0,0
1750431600,103860.4,104573.7,103828.7,104166.3,104979.2043669789,110342.0674136371,108075.02637750938,101972.06254688768,99876.98805942338,0,0
1750435200,104166.3,104220.8,103551,103630,104969.91097998472,110331.1476039791,108064.80092360152,101963.656222675,99869.18880510698,0,0
1750438800,103630,103720,102260,103221.7,104959.16893176071,110327.9436696002,108058.36246459243,101948.8625552293,99851.64933225662,0,0
