time,open,high,low,close,GGI Mean,GGI Upper Inner,GGI Lower Inner,Shapes,Shapes
1674792000,22762,23099.5,22753.5,23077.5,21353.64495967486,23567.545032435206,19347.71536179523,0,0
1674806400,23077.5,23083,22903,22970,21407.293641910113,23626.79013480465,19396.29625760648,0,0
1674820800,22970,23148,22838,22931.5,21460.198804129657,23684.684104979773,19444.63901952309,0,0
1674835200,22931.5,23299.5,22919.5,23261.5,21512.510225390146,23741.79203505602,19492.551173651267,0,0
1674849600,23261.5,23515.5,22941.5,23066,21564.216540039008,23799.17039749459,19539.14473567724,0,0
1674864000,23066,23193,23039.5,23112,21615.240959890285,23854.36950099619,19586.29180010845,0,0
1674878400,23112,23125.5,22942,22982.5,21665.474743716048,23907.4942148689,19633.709482554896,0,0
1674892800,22982.5,23019,22901,22979.5,21714.85712498142,23958.15797313638,19681.605759803213,0,0
1674907200,22979.5,23045,22874,23012,21763.3856936538,24006.718061084477,19729.683817902867,0,0
1674921600,23012,23058.5,22968,23036.5,21811.0895931981,24052.797860301205,19778.30737220344,0,0
1674936000,23036.5,23043.5,22933,23022,21857.9376550853,24096.542523964414,19827.30252933367,0,0
1674950400,23022,23514,22962,23191.5,21904.124393829552,24140.6995187684,19874.76233185958,0,0
1674964800,23191.5,23267.5,23151,23202,21949.61935374763,24182.748551625387,19922.70600448477,0,0
1674979200,23202,23646.5,23152.5,23428.5,21994.59244714411,24225.04314464492,19969.504038753676,0,0
1674993600,23428.5,23664.5,23342.5,23523.5,22039.114965856166,24266.66445271285,20016.042560143647,0,0
1675008000,23523.5,23966,23475,23895.5,22083.406545089634,24308.78739545676,20061.75119729967,0,0
1675022400,23895.5,23908,23611.5,23737.5,22127.41271297483,24350.2465229931,20107.492255077854,0,0
1675036800,23737.5,23799.5,23564.5,23694.5,22171.045408212707,24390.627470108342,20153.448495552224,0,0
1675051200,23694.5,23764,23597.5,23646.5,22214.26467095545,24429.536879000923,20199.873510309488,0,0
1675065600,23646.5,23672.5,23011,23076.5,22256.666706983302,24469.396641190506,20244.030540249492,0,0
1675080000,23076.5,23300.5,22953,23179.5,22298.143589625877,24508.25869295508,20287.333089335152,0,0
1675094400,23179.5,23250.5,22590,22787.5,22338.44204217828,24547.680617655144,20328.0301973973,0,0
1675108800,22787.5,22841,22480.5,22830.5,22377.420719365877,24585.724052636044,20367.46841294738,0,0
1675123200,22830.5,22914,22723,22830.5,22415.19529242331,24621.514781294067,20406.582798033218,0,0
1675137600,22830.5,22986.5,22734.5,22970.5,22451.849042423248,24655.54008887886,20445.12201341453,0,0
1675152000,22970.5,22994,22801,22855.5,22487.379397925248,24687.478214768238,20483.348999321035,0,0
1675166400,22855.5,23214,22848,23115,22521.964056324505,24718.56235436407,20520.564977955517,0,0
1675180800,23115,23224.5,23076,23160,22555.697673706134,24747.62792079183,20557.909597476846,0,0
1675195200,23160,23375,22801.5,23130,22588.534590096046,24777.143799706835,20593.249127205807,0,0
1675209600,23130,23179.5,22973,23130,22620.472637411927,24804.925605323333,20628.394153703484,0,0
1675224000,23130,23164.5,23009,23072.5,22651.506648935738,24830.707840445266,20663.55726803071,0,0
1675238400,23072.5,23102.5,22910,23079.5,22681.595321777884,24854.71344093715,20698.479085804287,0,0
1675252800,23079.5,23142,22940.5,22979.5,22710.73914163041,24877.032826915303,20733.08645559796,0,0
1675267200,22979.5,23497.5,22755,23381,22739.129917715047,24901.056923750253,20764.902911472473,0,0
1675281600,23381,23866,23315,23729.5,22767.171043424274,24925.952225757683,20795.357089102363,0,0
1675296000,23729.5,24280,23692,23855.5,22795.133498764477,24952.1259497161,20824.602772270253,0,0
1675310400,23855.5,23927,23655,23779.5,22822.851401329935,24977.578853263894,20854.004671438466,0,0
1675324800,23779.5,23863.5,23751.5,23824.5,22850.333201894315,25001.433619145537,20884.311491551918,0,0
1675339200,23824.5,23949.5,23510,23849,22877.522598778312,25025.557943003423,20913.860999608114,0,0
1675353600,23849,24159.5,23728.5,23810.5,22904.526929331936,25049.979875438363,20942.82536214258,0,0
1675368000,23810.5,23950,23360,23495.5,22931.051388114578,25075.30233839137,20970.16062531291,0,0
1675382400,23495.5,23599.5,23410.5,23538,22957.01011476447,25099.083804185066,20997.751054224587,0,0
1675396800,23538,23571,23444.5,23449,22982.375694976137,25120.97510677821,21025.839575889408,0,0
1675411200,23449,23543,23314,23543,23007.12831774545,25141.608122940634,21053.862220778774,0,0
1675425600,23543,23700,23218,23603.5,23031.30823089208,25162.522446608724,21080.60350276398,0,0
1675440000,23603.5,23723,23306,23315,23054.860185550788,25183.242842058004,21106.359554600473,0,0
1675454400,23315,23475,23203,23433.5,23077.714106833762,25202.849131751147,21131.773063141343,0,0
1675468800,23433.5,23460,23335.5,23348,23099.887364367958,25220.51658794119,21157.56806114041,0,0
1675483200,23348,23371.5,23260.5,23337,23121.331519154784,25236.171892375,21183.71888963819,0,0
1675497600,23337,23378,23300,23364.5,23142.07986622113,25249.716142777666,21210.371534721027,0,0
1675512000,23364.5,23587.5,23347,23415,23162.239353718636,25262.274781589724,21236.778418304883,0,0
1675526400,23415,23471.5,23358,23424.5,23181.78494970687,25273.10635167787,21263.51806448116,0,0
1675540800,23424.5,23450,23260.5,23323.5,23200.653403110915,25282.643384941457,21290.11235636382,0,0
1675555200,23323.5,23368,23224.5,23348,23218.8250228866,25290.631923865025,21316.74040673932,0,0
1675569600,23348,23434.5,23332.5,23382,23236.378324690173,25296.957101233787,21343.645225290667,0,0
1675584000,23382,23422,23345,23363,23253.316350137567,25301.53112428096,21370.909081493057,0,0
1675598400,23363,23375,22983.5,23104,23269.433886590952,25306.05119097542,21396.72244065972,0,0
1675612800,23104,23160,22760,22901,23284.5413168126,25310.361333012803,21420.866229483265,0,0
1675627200,22901,23040,22800,22934,23298.651105706052,25313.498634745276,21444.176926232314,0,0
1675641600,22934,23098,22815.5,22893,23311.802231543254,25315.77323477814,21466.463545976992,0,0
1675656000,22893,22922.5,22612.5,22879.5,23323.893776992703,25317.25989378056,21487.47625939089,0,0
1675670400,22879.5,22934,22731,22881.5,23335.002212315914,25317.391720072217,21507.83675780782,0,0
1675684800,22881.5,23064.5,22737,23049.5,23345.258292289574,25317.076145472518,21527.015268355874,0,0
1675699200,23049.5,23165,22917.5,23029.5,23354.773564268988,25315.938301154656,21545.535533770828,0,0
1675713600,23029.5,23030,22628.5,22763.5,23363.34404082759,25314.706712966126,21562.4005033601,0,0
1675728000,22763.5,22897.5,22749.5,22875,23371.034587625065,25311.903136254685,21578.988144657826,0,0
1675742400,22875,22984,22859,22903.5,23377.949105678767,25307.537942442985,21595.482959688856,0,0
1675756800,22903.5,23062,22862,22977.5,23384.164904638503,25302.18443453086,21611.53989301659,0,0
1675771200,22977.5,23039,22872,22902,23389.676865176156,25295.663757462895,21627.302967922886,0,0
1675785600,22902,23363,22760,23088.5,23394.640228377633,25290.754952816325,21640.682234923865,0,0
1675800000,23088.5,23312.5,23025,23244.5,23399.19434019647,25285.64410058324,21653.484229719634,0,0
1675814400,23244.5,23462.5,23225,23260.5,23403.470913066485,25280.16767441104,21666.092481386575,0,0
1675828800,23260.5,23290,23181,23238,23407.40043247125,25273.51453689111,21679.074123477767,0,0
1675843200,23238,23241.5,23128,23157,23410.934807271078,25265.70718475464,21692.32250427583,0,0
1675857600,23157,23198.5,22858.5,22879.5,23413.89503843286,25257.944093209335,21704.47756348224,0,0
1675872000,22879.5,23041,22669,22876,23416.18780925352,25250.31307127166,21715.289231089868,0,0
1675886400,22876,22985,22759,22959,23417.878261696984,25241.98456801149,21725.59058508535,0,0
1675900800,22959,23011,22430,22518.5,23418.744847574442,25234.87309669427,21733.321508465953,0,0
1675915200,22518.5,22733,22355,22671,23418.75565422526,25227.658963000933,21739.55646049643,0,0
1675929600,22671,22760,22654,22674.5,23418.05751551951,25218.822391945836,21745.877316433485,0,0
1675944000,22674.5,22847.5,22532.5,22599.5,23416.645760465482,25209.660885009038,21751.157271504468,0,0
1675958400,22599.5,22616.5,21866,22034.5,23414.06134201148,25202.37481079282,21752.643258551332,0,0
1675972800,22034.5,22082,21698,21802,23410.03820218937,25194.337005870642,21752.105979223306,0,0
1675987200,21802,21939.5,21767.5,21817,23404.623493541658,25184.250442478762,21750.752603321365,0,0
1676001600,21817,21931.3,21620,21910,23397.862267425822,25173.067463977415,21747.844575113566,0,0
1676016000,21910,21928.5,21705.6,21729.5,23389.787040117128,25160.257051116394,21743.90097329138,0,0
1676030400,21729.5,21900,21500.7,21650.4,23380.3559680112,25146.901107366582,21737.90889211327,0,0
1676044800,21650.4,21794,21548.5,21770.1,23369.660120137814,25132.099433475265,21730.81542894562,0,0
