time,open,high,low,close,GGI Mean,GGI Upper Inner,GGI Lower Inner,Shapes,Shapes
1779699000,77340.6,77413.1,77329.5,77412,77247.60085825331,77755.7223700983,76742.79984119548,0,0
1779699300,77412,77448.5,77408,77432.1,77251.34066368255,77756.15506003583,76749.8036615699,0,0
1779699600,77432.1,77461.6,77395.5,77400.6,77255.08001515435,77756.6018386129,76756.79295419132,0,0
1779699900,77400.6,77460,77400.6,77446.6,77258.83122279242,77757.04127937529,76763.8133306283,0,0
1779700200,77446.6,77480,77426.9,77430.6,77262.59988657081,77757.44878113411,76770.90021349418,0,0
1779700500,77430.6,77439.8,77398.9,77422.7,77266.35718712027,77757.73464045361,76778.084914291,0,0
1779700800,77422.7,77484,77390.4,77484,77270.13114100366,77758.2212083985,76785.10482571357,0,0
1779701100,77484,77523.7,77466,77493.6,77273.95747581431,77758.74453421331,76792.19282336334,0,0
1779701400,77493.6,77682,77486.7,77596.5,77277.92063281302,77760.13860047758,76798.69306836178,0,0
1779701700,77596.5,77620,77535.9,77577.8,77282.000773238,77761.75167189365,76805.20969634321,0,0
1779702000,77577.8,77587.7,77545.3,77561.6,77286.17636716824,77763.3341600225,76811.94642664622,0,0
1779702300,77561.6,77586.6,77529.7,77581.3,77290.44022204279,77764.96544792998,76818.81056987194,0,0
1779702600,77581.3,77647.7,77581.3,77607.6,77294.82896530804,77766.7379011652,76825.78369648581,0,0
1779702900,77607.6,77610.1,77564.4,77564.5,77299.3016805513,77768.50018149229,76832.93398170592,0,0
1779703200,77564.5,77589.8,77529.3,77529.5,77303.82143679085,77770.30217475725,76840.13873705768,0,0
1779703500,77529.5,77590.7,77529.5,77580.8,77308.39865180117,77772.16111873282,76847.40164261994,0,0
1779703800,77580.8,77603.8,77571.2,77600.8,77313.05041639657,77773.9417902323,76854.8903025894,0,0
1779704100,77600.8,77661.2,77595.1,77595.1,77317.79326038605,77775.85158494436,76862.43265529236,0,0
1779704400,77595.1,77595.2,77501.5,77542.6,77322.55065873603,77777.96464495313,76869.80326195451,0,0
1779704700,77542.6,77542.6,77484.3,77506.4,77327.2833837495,77780.04411225661,76877.15819344012,0,0
1779705000,77506.4,77525,77489.3,77525,77331.98987311803,77781.96880336406,76884.61413022738,0,0
1779705300,77525,77560,77485.6,77485.6,77336.66413093545,77783.9508223139,76891.94950464458,0,0
1779705600,77485.6,77496.3,77474.7,77487.9,77341.27983611678,77785.67609622449,76899.42245007829,0,0
1779705900,77487.9,77530,77482.3,77500,77345.85222804628,77787.31291424553,76906.89693160995,0,0
1779706200,77500,77521.4,77454.4,77502.9,77350.36798886719,77788.95747826392,76914.25135354185,0,0
1779706500,77502.9,77526.8,77502.8,77507.4,77354.84394494625,77790.39330264559,76921.73323339506,0,0
1779706800,77507.4,77507.5,77370,77417.5,77359.19975737098,77792.16633158008,76928.6429380668,0,0
1779707100,77417.5,77430,77380.5,77428.6,77363.41846079276,77793.76439610508,76935.45314847094,0,0
1779707400,77428.6,77439.7,77407.6,77419.6,77367.51086853929,77795.10796467311,76942.26403942618,0,0
1779707700,77419.6,77419.6,77377.5,77405.4,77371.45779799369,77796.24035373947,76948.99463736065,0,0
1779708000,77405.4,77414,77388,77393.3,77375.25943243141,77797.07982855952,76955.72617159144,0,0
1779708300,77393.3,77393.3,77373.6,77383.2,77378.90386229061,77797.58947391385,76962.47150353249,0,0
1779708600,77383.2,77467.2,77381.3,77457.7,77382.44459627375,77798.19312234841,76968.91780350672,0,0
1779708900,77457.7,77487.6,77425.4,77466.2,77385.9061857221,77798.78083125348,76975.2226474433,0,0
1779709200,77466.2,77466.3,77424,77436.9,77389.2720067772,77799.22790620828,76981.47633237664,0,0
1779709500,77436.9,77476.2,77392,77405,77392.5256005918,77799.75016242824,76987.43256030159,0,0
1779709800,77405,77407.2,77334.9,77372,77395.61750532514,77800.2280619346,76993.11118036893,0,0
1779710100,77372,77372.1,77300,77327.7,77398.51495044156,77800.62517036573,76998.48302524335,0,0
1779710400,77327.7,77338.7,77247.9,77281.3,77401.18108386426,77801.00387000905,77003.41300463027,0,0
