time,open,high,low,close,GGI Mean,GGI Upper Outer,GGI Upper Inner,GGI Lower Inner,GGI Lower Outer,Shapes,Shapes
1770246000,2118.81,2132.5,2113.53,2132.43,2212.708914340542,2458.65130652407,2353.0166523601433,2080.76756902302,1991.3684899563725,0,0
1770246900,2132.43,2162.62,2130,2154.17,2211.050226675274,2458.932886669788,2352.4386929730517,2078.1596219633275,1988.1563792909224,0,0
1770247800,2154.17,2164.83,2150.53,2155.12,2209.411828365726,2459.0421157089304,2351.773154041469,2075.6681480667608,1985.122823288883,0,0
1770248700,2155.12,2159.43,2144.95,2146.9,2207.7880956863405,2458.9815932545816,2351.019096622256,2073.2831487661406,1982.2548850408054,0,0
1770249600,2146.9,2147.64,2135.27,2136.63,2206.1694763350133,2458.7253792026722,2350.1579091101544,2071.002863018332,1979.5556671280879,0,0
1770250500,2136.63,2163.67,2135.66,2161.03,2204.5708398885254,2458.4625706722986,2349.301692154986,2068.7562624741727,1976.8991588746178,0,0
1770251400,2161.03,2161.46,2144.16,2154.96,2202.9929422610085,2458.0800333810457,2348.3877443137103,2066.599911110548,1974.3774969671567,0,0
1770252300,2154.96,2156.42,2146,2148.98,2201.4333901556793,2457.5073242034,2347.3758076998915,2064.5645896985916,1972.0425341410755,0,0
1770253200,2148.98,2169.39,2147.15,2165.1,2199.902832782078,2456.8888072518866,2346.351108833351,2062.5951740398027,1969.7971106375937,0,0
1770254100,2165.1,2168.66,2121.72,2162.66,2198.3920916251177,2456.480159438509,2345.451998648466,2060.5528449547323,1967.419834412401,0,0
1770255000,2162.66,2174.98,2140.73,2155.91,2196.9078668164384,2456.142585832175,2344.604102323841,2058.51562338234,1965.0341975747717,0,0
1770255900,2155.91,2159.96,2145.01,2147.78,2195.4442425506527,2455.663223794841,2343.6862669955203,2056.578770812938,1962.7998560406406,0,0
1770256800,2147.78,2152.74,2123.95,2125.29,2193.985010496586,2455.178359245415,2342.7671964120414,2054.6515392804326,1960.5786309403313,0,0
1770257700,2125.29,2138.83,2111.12,2136.97,2192.5264374807516,2454.673491722572,2341.8371626053367,2052.7354573637263,1958.3753991161545,0,0
1770258600,2136.97,2163.04,2135.15,2157.18,2191.092489824763,2454.173823798199,2340.920863925984,2050.8537357879154,1956.2128209551165,0,0
1770259500,2157.18,2159,2115.9,2122.98,2189.664568026646,2453.8218471011164,2340.089293880558,2048.9093869236103,1953.94418145538,0,0
1770260400,2122.98,2135.8,2111.85,2116.62,2188.232691984761,2453.3968754818316,2339.215216932248,2046.9951971971807,1951.7275668374975,0,0
1770261300,2116.62,2126.38,2096.96,2111.98,2186.7888397455577,2452.9520935447363,2338.3246564929937,2045.0733461485227,1949.5062468689457,0,0
1770262200,2111.98,2117.76,2102.52,2114.03,2185.334653020605,2452.335937907986,2337.3340813436434,2043.219916147943,1947.4034824799262,0,0
1770263100,2114.03,2117.38,2105.06,2108.85,2183.871040867448,2451.523947214603,2336.2303444938666,2041.4479823789447,1945.4399899125167,0,0
1770264000,2108.85,2115.4,2082.65,2091.4,2182.3859185462725,2450.731735159863,2335.1279459428115,2039.6348327483465,1943.4229496189123,0,0
1770264900,2091.4,2106.37,2077.09,2096.79,2180.8786584293807,2449.919309164519,2334.00436965906,2037.7989795655367,1941.3830100448185,0,0
1770265800,2096.79,2126.87,2091.34,2121.9,2179.371722683616,2449.175429714966,2332.9189524201524,2035.9306098935374,1939.289872014483,0,0
1770266700,2121.9,2122.83,2095.31,2103.03,2177.860306808432,2448.404546499284,2331.8164491701955,2034.0689841430687,1937.2107124834995,0,0
1770267600,2103.03,2115.3,2095,2107.53,2176.3450084499987,2447.530123738797,2330.654618600164,2032.2520368333446,1935.207068491512,0,0
1770268500,2107.53,2112.3,2075.46,2093.65,2174.81537569228,2446.7242483665486,2329.524396350122,2030.380933446413,1933.1242257909603,0,0
1770269400,2093.65,2123.93,2083.85,2118.08,2173.288376267976,2446.0343268251686,2328.4596595455614,2028.4578893427367,1930.955062495772,0,0
1770270300,2118.08,2119.76,2091.11,2100.68,2171.760663274692,2445.3272095398283,2327.3849569808167,2026.542435277159,1928.7988781815864,0,0
1770271200,2100.68,2106.93,2077.71,2092.32,2170.222278010452,2444.599485372647,2326.293951820941,2024.6214938942514,1926.6406477439464,0,0
1770272100,2092.32,2098,2075.89,2079.52,2168.667369438141,2443.7675713136373,2325.1376429037596,2022.726772163146,1924.5357923861825,0,0
1770273000,2079.52,2094.4,2079.02,2088.47,2167.1010735341574,2442.767125664437,2323.882641469421,2020.8968297742222,1922.543910785392,0,0
1770273900,2088.47,2097.59,2064.1,2086.7,2165.5209583132423,2441.7989657087837,2322.6393231693914,2019.0310971291071,1920.5025011273533,0,0
1770274800,2086.7,2122.8,2084.57,2104.93,2163.950484687121,2440.9335953278887,2321.4572780386256,2017.1302502426292,1918.3978249718034,0,0
1770275700,2104.93,2124.1,2099.18,2114.99,2162.399348966724,2440.0328814790573,2320.2641959600246,2015.2752227756537,1916.3557097547437,0,0
1770276600,2114.99,2117.36,2095.11,2102.03,2160.8603794966643,2439.0624666470108,2319.0378280811588,2013.4719335484065,1914.3903214981608,0,0
1770277500,2102.03,2104.61,2085.15,2090.4,2159.3231895731674,2437.9847835867918,2317.752713688283,2011.7230839560245,1912.5126081257379,0,0
1770278400,2090.4,2104.74,2090.39,2102.4,2157.7949824289913,2436.7569071444873,2316.388292415832,2010.0598856592228,1910.7688471280276,0,0
1770279300,2102.4,2120,2096.68,2111.46,2156.2869639916266,2435.4934226239084,2315.0131351230684,2008.443667354419,1909.088904896714,0,0
1770280200,2111.46,2120.46,2107.59,2113.91,2154.804255332162,2434.0901305922343,2313.5717671820235,2006.932071293851,1907.563454796092,0,0
1770281100,2113.91,2120,2107.71,2110.9,2153.3460838266233,2432.547312131744,2312.0640117798953,2005.523780097175,1906.1908204646363,0,0
1770282000,2110.9,2148.37,2110.01,2138.45,2151.931777812368,2431.1691661262257,2310.6671791965473,2004.1009878233094,1904.7668261346603,0,0
1770282900,2138.45,2149.99,2133.52,2137.09,2150.568453345004,2429.7258103127674,2309.2569994758155,2002.7847370702136,1903.4841926988354,0,0
