time,open,high,low,close,GGI Mean,GGI Upper Outer,GGI Upper Inner,GGI Lower Inner,GGI Lower Outer,Shapes,Shapes,Volume
1640995200,46200.5,46929.5,46200.5,46779,46636.333333333496,54199.74106417626,50909.66108973845,42721.706258150356,40128.375967746855,0,0,3191.585
1641002400,46779,46908,46726,46811.5,46466.08239500281,60158.13247020722,54020.88887332994,39967.813528613275,35890.35637381968,0,0,1331.939
1641009600,46811.5,47552,46500,47183.5,46304.39680408984,66467.64494824072,57174.002928046284,37501.260250903906,32257.757365410554,0,0,4557.585
1641016800,47183.5,47335.5,46909,47209.5,46151.071420421365,73103.19727727078,60353.89392024079,35290.538106250104,29135.81720884688,0,0,2746.044
1641024000,47209.5,47351.5,46930.5,47125.5,46005.82170016066,80042.11332119638,63548.86751222203,33305.63884399531,26442.775465131086,0,0,2245.015
1641031200,47125.5,47300,46718.5,46768.5,45868.19144342023,87260.01308221387,66748.07571283827,31519.874750270716,24110.596732411937,0,0,3772.107
1641038400,46768.5,47200,46768,47015.5,45737.9983964163,94724.01517050844,69938.64362679378,29911.42505527716,22084.837657535194,0,0,2509.197
1641045600,47015.5,47480,46856,47176.5,45615.16706139263,102403.99485458239,73110.60653572409,28460.213430482814,20318.96772185006,0,0,3629.48
1641052800,47176.5,47915.5,47176,47720,45499.85637431764,110266.57351396393,76254.08373320264,27149.19422973945,18774.836871314983,0,0,4373.955
1641060000,47720,47796,47296,47334,45391.691616683886,118267.0578343578,79355.56092723494,25964.225364286933,17421.63629968616,0,0,2617.626
1641067200,47334,47554.5,47240.5,47300,45290.32827381905,126358.60509798734,82402.12761863884,24892.7290402429,16233.273812730344,0,0,1751.187
1641074400,47300,47845,47188.5,47719.5,45195.73716105335,134506.43542875443,85386.79934816703,23922.370590353643,15186.296856502266,0,0,1851.81
1641081600,47719.5,47719.5,47327,47369.5,45107.58095531582,142658.81567980326,88296.77311410071,23043.80769398056,14262.657726019725,0,0,2191.725
1641088800,47369.5,47450.5,47280,47331,45025.52870390415,150763.3531889355,91120.00157883573,22248.66330047313,13446.890057728428,0,0,1322.413
1641096000,47331,47393,46791.5,47080,44949.125227430406,158786.5459556664,93851.6353218831,21527.84926742906,12724.150188866302,0,0,4072.12
1641103200,47080,47274,47035.5,47171,44878.243390858,166672.70859637787,96479.68829421124,20875.44814310861,12083.902318563862,0,0,1818.298
1641110400,47171,47552,46990,47267.5,44812.79221717422,174389.39225466936,99000.5345377934,20284.60104458331,11515.530390558257,0,0,2974.153
1641117600,47267.5,47373,47105.5,47218.5,44752.546179780744,181884.9153495399,101404.08724399388,19750.588403348927,11011.30561445691,0,0,1629.126
1641124800,47218.5,47436.5,46990,47137,44697.28011910818,189126.11670624997,103686.48890482177,19268.150278286805,10563.56935170975,0,0,4298.858
1641132000,47137,47379,47002,47312.5,44646.855925392316,196074.03380737902,105841.97028672365,18833.188182559512,10166.27089939393,0,0,2796.305
1641139200,47312.5,48000,47261.5,47380,44601.38579587916,202710.49377370503,107871.39175664984,18441.25288937157,9813.42197870417,0,0,6482.049
1641146400,47380,47380.5,46600,46906.5,44560.15355616875,209005.60944736266,109770.7375965499,18088.675802172493,9500.258343302536,0,0,5670.767
1641153600,46906.5,47160,46845,47014.5,44523.04567526264,214913.62512887592,111531.53120563056,17773.463475066583,9223.712991732416,0,0,1366.14
1641160800,47014.5,47477.5,47014.5,47305,44490.14636277221,220418.69840573744,113154.41853089434,17492.671952889483,8980.059939095307,0,0,2151.701
1641168000,47305,47305.5,46971,47115.5,44461.173863619224,225495.27572197604,114636.31831496577,17244.06375211464,8766.462955828236,0,0,2199.268
1641175200,47115.5,47115.5,46710,46821.5,44435.75237526024,230129.90854421462,115977.26030131447,17025.200319661864,8580.093311843822,0,0,2551.37
1641182400,46821.5,47199,46780,47064.5,44413.86761214128,234312.15212805464,117178.08286215426,16834.13474676255,8418.648449743081,0,0,2293.916
1641189600,47064.5,47093,46890,47050,44395.379278404645,238023.95606315916,118236.83468384462,16669.506643539255,8280.467789344753,0,0,1502.225
1641196800,47050,47128,46810,46999.5,44380.124875730326,241266.43116734215,119156.68389125868,16529.458689726987,8163.570350237858,0,0,2486.671
1641204000,46999.5,47422,46999,47367,44368.23329615197,244045.29254407415,119941.96058709396,16412.43911793775,8066.290094353095,0,0,3745.201
1641211200,47367,47576.5,47125,47148.5,44359.58614803529,246364.5402163902,120595.76824644208,16317.097289879568,7987.240702321056,0,0,3775.114
1641218400,47148.5,47265,46535,46697,44353.63871192953,248241.33647581714,121124.05864801057,16241.573217961892,7924.728793828487,0,0,6723.091
1641225600,46697,46883.5,46286,46596,44350.054926902296,249676.13184303965,121527.85525047018,16184.99205770885,7877.915111468368,0,0,6587.544
1641232800,46596,46726.5,46360,46400.5,44348.64961157513,250667.63177858098,121807.53390933125,16146.80684557881,7846.257246757625,0,0,2443.902
1641240000,46400.5,46413.5,45700,45980,44348.89943369247,251244.4914795281,121971.25887224339,16125.31426801034,7828.330362180417,0,0,7090.907
1641247200,45980,46581,45980,46462,44351.01944386464,251417.2545123824,122022.60696429823,16120.069671069845,7823.699011927535,0,0,3421.987
1641254400,46462,46608,46083,46116.5,44354.86016446466,251198.27233136908,121964.99923814849,16130.477042579776,7831.875601492883,0,0,3629.156
1641261600,46116.5,46374,45950,46332.5,44360.296945842834,250600.51393794513,121801.83383477895,16156.04530053851,7852.481681704124,0,0,2868.962
1641268800,46332.5,46422,46065.5,46179.5,44367.25901200342,249640.2544089025,121537.30703346162,16196.29165961563,7885.161296999548,0,0,2489.162
1641276000,46179.5,46537,46119.5,46512,44375.828726995045,248342.17684552167,121178.00940606598,16250.590225564665,7929.439132010691,0,0,2653.462
1641283200,46512,46700,46301,46356,44385.986907661856,246726.90478691735,120729.1328923354,16318.479115757851,7985.006075720019,0,0,3166.718
1641290400,46356,46747,46328.5,46706,44397.786205527016,244817.8782056276,120196.65281299819,16399.486789523322,8051.550133508077,0,0,3186.839
1641297600,46706,47200,46423,46932.5,44411.3820159067,242655.40161809634,119591.44092408568,16492.575365948003,8128.279195148604,0,0,5171.902
1641304800,46932.5,47475,46815,46911,44426.881389226925,240255.33534580065,118917.29878903246,16597.65072089304,8215.208986437754,0,0,7996.181
1641312000,46911,46982,46511,46556.5,44443.837478651156,237627.91529984932,118175.73986792433,16714.553190327755,8312.384878419249,0,0,5449.086
1641319200,46556.5,46696,45500,46052,44461.616825241654,234826.00999143862,117380.4592049797,16841.264586147976,8418.298172279485,0,0,11885.104
1641326400,46052,46420.5,45978,46250,44480.29193314278,231833.34515165977,116525.89699770918,16979.027164206273,8534.132004019188,0,0,2765.917
1641333600,46250,46251.5,45772.5,45870,44499.57286265381,228671.06536201035,115616.94149513626,17127.351401541255,8659.652596727758,0,0,3266.405
1641340800,45870,46325,45755,46135,44519.51569421262,225363.68708779808,114659.92260681454,17285.789424817292,8794.61684026803,0,0,2895.33
1641348000,46135,46566.5,46135,46408.5,44540.35113701104,221925.02876513917,113658.26303012106,17454.453609611246,8939.248044472353,0,0,2075.505
1641355200,46408.5,46507.5,46255,46322.5,44562.014157925165,218365.63437781265,112614.11855907459,17633.429371197675,9093.798625727757,0,0,1524.243
1641362400,46322.5,46485,46275,46398,44584.472052462734,214702.07139104677,111531.52707355277,17822.540409456902,9258.295159045785,0,0,1639.868
1641369600,46398,46913.5,46283.5,46832,44607.93888314148,210970.7174494971,110420.91382933273,18020.75478634092,9431.963996986582,0,0,4059.177
1641376800,46832,47060,46127,46287,44632.179088180645,207197.9961006419,109289.45894512562,18227.11384415977,9614.144188884164,0,0,5666.761
1641384000,46287,46466.5,45910.5,46434.5,44656.93216378167,203380.56262241764,108135.31371125986,18442.093723476588,9805.467959015185,0,0,6863.645
1641391200,46434.5,46826.5,46125,46600,44682.38262556797,199538.44904252441,106964.3312201468,18665.243771669684,10005.667211897458,0,0,9614.722
1641398400,46600,46691,46016,46016,44708.220359871695,195681.3054844672,105778.77245979014,18896.276835757973,10214.695587798544,0,0,4205.512
1641405600,46016,46540,44179.5,44665.5,44733.35311923153,191882.32510415537,104600.43870792058,19130.63564558774,10428.646203883873,0,0,19795.783
1641412800,44665.5,44843.5,43200,43622,44756.583169688725,188114.57185729337,103419.74773675892,19369.141589128776,10648.572926848461,0,0,16897.865
1641420000,43622,43779,42444,43437,44777.305003289446,184370.84532512818,102233.82825653568,19611.97264692504,10874.859524681828,0,0,13098.305
1641427200,43437,43795,43297.5,43537,44795.926790265425,180626.89098842576,101035.14208237818,19861.159351492704,11109.503385779939,0,0,5138.493
1641434400,43537,43598.5,42807,42830.5,44812.05570780568,176901.93504077967,99829.41703660176,20115.517012617798,11351.601870813709,0,0,5547.924
1641441600,42830.5,43287.5,42610,43040.5,44825.68229121013,173199.39913628454,98617.71468840075,20375.05938178919,11601.320806496726,0,0,6981.519
1641448800,43040.5,43242,42920,43230,44837.05223928121,169514.42515227108,97398.58727323974,20640.558654800727,11859.52907371847,0,0,3547.659
1641456000,43230,43238,42179,42582.5,44845.782722954165,165880.10068546046,96182.78311434027,20909.60734254907,12124.083719046672,0,0,6751.087
1641463200,42582.5,42954,42580,42858.5,44852.1113342337,162277.45753854062,94964.2519946063,21183.88602958463,12396.742724791067,0,0,4864.171
1641470400,42858.5,43196,42652,43123,44856.33005635061,158719.63335969075,93747.80425452614,21462.799711675594,12677.009790997063,0,0,4983.333
1641477600,43123,43220,42680,42950,44858.48530649538,155211.58312315404,92535.3475588046,21746.108455628706,12964.777908336886,0,0,5728.471
1641484800,42950,43170,42770,43004,44858.69597102902,151753.45843263977,91327.22962780447,22033.982771865136,13260.340983361737,0,0,3465.932
1641492000,43004,43494.5,42972.5,43406.5,44857.357331513136,148354.62035830482,90127.29357504006,22326.006107036934,13563.328879863997,0,0,3032.476
1641499200,43406.5,43549,43060,43115,44854.4882715473,145017.2589295498,88936.61884921804,22622.010417479054,13873.694296482177,0,0,2654.78
1641506400,43115,43227.5,43017,43110.5,44850.035032615655,141735.5828752605,87753.37920913096,22922.48641084294,14192.100541168742,0,0,1719.107
1641513600,43110.5,43137,42742,43003.5,44843.91281937795,138518.15620902603,86580.88772682895,23226.563849712362,14517.782881237428,0,0,3389.466
1641520800,43003.5,43015,41500,41791.5,44835.32696986207,135398.20916077448,85431.1027541972,23530.148619036536,14846.625793310774,0,0,12270.954
1641528000,41791.5,41928,40952.5,41837.5,44823.84664278342,132357.58256811104,84297.67894619844,23834.312557266134,15179.917832224282,0,0,13117.825
1641535200,41837.5,41838,41235,41707.5,44809.63262015766,129385.77989378454,83177.37864283174,24140.015089626046,15518.731480397819,0,0,5879.092
1641542400,41707.5,43260,41620,42399.5,44793.67746934075,126514.68794723228,82083.49745153263,24444.298836219496,15859.609455498168,0,0,9840.607
1641549600,42399.5,42526,42161,42259,44775.96087567005,123707.04146427651,81002.56904668779,24750.902297727986,16206.730422200708,0,0,3165.42
1641556800,42259,42774,41101,41463,44756.02805260373,120997.65266824738,79948.07758621365,25055.037063090924,16554.88352767948,0,0,12615.366
1641564000,41463,42115,40517.5,41339.5,44733.52456993463,118381.1792394045,78918.47511882911,25356.39743971062,16903.769951489554,0,0,13917.441
1641571200,41339.5,42404.5,40911,42009.5,44709.05649725493,115853.35241680958,77913.27865523905,25655.4436852764,17253.706441598886,0,0,11418.508
1641578400,42009.5,42009.5,41540,41763.5,44682.732352218714,113386.01478168271,76922.12162897224,25955.42775185268,17608.40236165132,0,0,2698.99
1641585600,41763.5,42043,41590,41884.5,44654.7322880699,110979.38414676469,75945.63224800254,26256.21851705156,17967.707525590224,0,0,2419.832
1641592800,41884.5,41884.5,41327,41554.5,44624.90125198347,108635.67841978082,74985.01376399865,26557.064029044242,18330.826858321318,0,0,2599.258
1641600000,41554.5,42242,41554.5,41897,44593.67078426161,106358.47669919177,74042.47142264618,26857.497268883537,18697.10375449763,0,0,4002.185
1641607200,41897,41936.5,41660,41800.5,44561.03401351045,104137.38084240328,73114.22895952137,27158.677327399313,19067.94405899531,0,0,2086.207
1641614400,41800.5,41973.5,41758,41953,44527.18597294488,101971.42535696544,72200.40600243733,27460.65293043212,19443.390966916475,0,0,1678.355
1641621600,41953,41972.5,41753.5,41915.5,44492.20103081043,99860.79323091857,71301.50736117738,27763.171156236844,19823.154698846767,0,0,1690.606
1641628800,41915.5,42150,41875,42115,44456.33604357077,97807.01192781384,70418.73014881006,28065.91101887807,20206.790652980384,0,0,3189.836
1641636000,42115,42150,41741,41943.5,44419.56319561638,95812.34782704542,69553.41894687618,28368.089223570423,20593.353980335312,0,0,3005.91
1641643200,41943.5,42100,41550,41885,44381.85882570378,93878.78929670576,68706.84135063938,28668.897508652095,20981.83634004129,0,0,3949.797
1641650400,41885,41970,41358,41609.5,44343.099256744994,92006.0990042821,67879.27759462364,28967.757486112077,21371.522898737654,0,0,4659.325
1641657600,41609.5,41715,40808,40845,44302.831250631345,90198.00074951192,67072.52390967196,29262.964063573687,21760.358771949148,0,0,9292.191
1641664800,40845,41333,40550,40871.5,44260.951758490686,88449.90987723552,66285.03024715612,29554.664805353845,22148.48893895412,0,0,10390.776
1641672000,40871.5,42078.5,40770.5,41782,44218.22486865643,86771.58367895614,65522.043275036405,29841.123884486788,22533.314797725117,0,0,6961.315
1641679200,41782,42302,41675,41691,44175.08613161014,85147.91321463525,64777.68508753178,30125.16165247747,22918.215621046606,0,0,5190.736
1641686400,41691,41925,41420,41811.5,44131.4243404621,83575.05581267473,64050.57567654455,30406.949410622383,23303.395916160025,0,0,3918.009
1641693600,41811.5,42136,41794,41845,44087.51753553623,82049.28854866077,63339.57772974256,30687.11968273039,23689.53146124434,0,0,3372.531
1641700800,41845,42077,41725,41764.5,44043.35082818305,80569.80857341105,62644.65289384039,30965.40027864289,24076.223917138286,0,0,2346.61
1641708000,41764.5,41932,41700,41810.5,43998.93887344272,79133.54600745239,61964.73788183708,31242.069089045497,24463.7921546778,0,0,1707.004
1641715200,41810.5,41943,41492,41518.5,43954.17215878319,77743.27708313649,61301.34955327907,31515.933405100848,24850.627895425063,0,0,3134.506
1641722400,41518.5,42000,41434.5,41844,43909.2224470627,76400.04174846207,60655.4029241385,31786.44808141827,25235.84767470949,0,0,4078.738
1641729600,41844,41908.5,41500,41500,43864.018401002395,75099.70507890132,60025.27263790353,32054.03367161911,25619.9689234735,0,0,3240.141
1641736800,41500,41736,41076,41632,43818.45992019398,73845.18204074046,59412.57726527605,32317.35632683675,26001.11986613221,0,0,5075.546
1641744000,41632,42200,41576,42086.5,43773.0884246437,72635.17055567061,58817.34129651402,32576.842611300388,26379.55215873156,0,0,5377.604
1641751200,42086.5,42744,41902.5,42683,43728.43023126912,71472.39685175358,58241.46918587403,32831.85738993605,26754.043445012234,0,0,5385.939
1641758400,42683,42771,42282,42300.5,43684.50531455933,70349.68949950999,57681.87473810353,33083.806884611404,27126.431092365434,0,0,2589.4
1641765600,42300.5,42479,41777,41856,43640.91135973924,69268.54049959077,57139.32553577333,33331.32000510306,27494.86463223329,0,0,3811.21
1641772800,41856,42030,41604,41820.5,43597.45704604288,68223.12686672175,56611.18703176678,33575.311886941614,27860.614840987397,0,0,4254.909
1641780000,41820.5,41966.5,41741,41940,43554.24438000405,67209.60598655559,56095.8830041099,33816.60296485807,28224.71841142141,0,0,2058.08
1641787200,41940,42200,41920.5,42016.5,43511.4690754247,66228.3084694607,55593.88586352066,34054.966867209805,28586.68724680863,0,0,2534.173
1641794400,42016.5,42128,41831,42019.5,43469.10127025519,65278.630786980866,55105.08967635831,34290.16768399125,28946.115175267354,0,0,2992.33
1641801600,42019.5,42070,41713,41796,43427.03168097892,64360.44193289378,54629.5748750545,34521.723534076205,29302.27052491516,0,0,3278.249
1641808800,41796,41960,41483.5,41567.5,43385.09906627932,63474.3218184024,54167.74892396063,34748.84702395795,29653.988684998698,0,0,4492.086
1641816000,41567.5,41614.5,40750,40791,43342.71370296856,62623.964912857686,53721.36449997474,34969.15703134052,29997.95419775145,0,0,11088.539
1641823200,40791,41354,39655,40986,43299.54354836214,61819.4908247966,53295.582476727075,35178.346579009856,30327.821314640827,0,0,29158.38
1641830400,40986,42121.5,40559.5,41194,43256.30704730199,61057.24437478562,52889.2367440702,35377.86163231504,30645.14487232847,0,0,21370.549
1641837600,41194,41840,41125,41272,43213.17262323222,60323.94614713296,52495.943701554985,35571.85863314527,30955.837730022544,0,0,5407.319
1641844800,41272,41972,41161.5,41705,43170.38034109743,59620.15954314649,52116.2840713397,35760.0656302337,31259.25447157323,0,0,3802.498
1641852000,41705,41860,41507.5,41809,43128.0700906053,58938.95445044009,51746.95027438296,35944.73529121119,31558.592226202534,0,0,2474.486
