SIGNAL ARROWS - SOL/USDT 1H,,,SAFE,,,,SIGNAL ARROWS - SOL/USDT 1H,,,SAFE
19800 evaluated · 20000 loaded,,,,,,,19800 evaluated · 20000 loaded,,,
,,,,,,,,,,
Signals,114,Full TP,44,,,,Signals,116,Full TP,45
Partial,97,Partial → BE,36,,,,Partial,99,Partial → BE,38
Partial → Stop,17,Stop,16,,,,Partial → Stop,16,Stop,16
Timeout,0,Open,1,,,,Timeout,0,Open,1
,,,,,,,,,,
Net R,-6.24R,Mean,-0.05R,,,,Net R,-5.05R,Mean,-0.04R
PF,0.80,Positive,56.1%,,,,PF,0.83,Positive,56.9%
Median hold,111 bars,,,,,,GGI WR,–,Median hold,110 bars
