symbol,timeframe,scenario,entryAt,direction,bigbar,chopCut,alignCut,dedupCut,touchStatus,touchNetR,closeStatus,closeNetR,confirmStatus,confirmNetR,exit141R,exitCanonR,touchDelayBars,tpDistRatio,fixed1R,fixed15R,fixed2R,fixed3R
BTC/USDT,15m,ote,1765987200000,long,false,true,false,false,entered,0.22626595741084488,missed-tp,0,missed-tp,0,0.7477901304388357,0.32220781692492817,9,0.27226463104326654,0.953855779293787,-1.1026744965889792,-1.1026744965889792,-1.1026744965889792
BTC/USDT,15m,deep,1765988100000,long,true,true,false,false,entered,-1.2110506657563793,entered,-1.96692417934352,entered,-1.3148108797501326,-1.2110506657563793,-1.2110506657563793,10,1.6178010471204116,0.9056885929971648,-1.2110506657563793,-1.2110506657563793,-1.2110506657563793
BTC/USDT,15m,ote,1765986300000,long,true,true,false,true,entered,0.24972681674967723,missed-tp,0,missed-tp,0,-1.0498875630765798,-1.0498875630765798,3,0.2722646310432547,-1.0498875630765798,-1.0498875630765798,-1.0498875630765798,-1.0498875630765798
BTC/USDT,15m,deep,1765988100000,long,true,true,false,true,entered,-1.1024367135554767,entered,-1.7208299104477611,entered,-1.283318931583878,-1.1024367135554767,-1.1024367135554767,5,1.6178010471204338,-1.1024367135554767,-1.1024367135554767,-1.1024367135554767,-1.1024367135554767
BTC/USDT,15m,ote,1766113200000,short,false,true,true,false,entered,-1.019941188386105,entered,-1.0306768893077705,entered,-1.0371201733931241,-1.019941188386105,-1.019941188386105,29,0.2722646310432556,-1.019941188386105,-1.019941188386105,-1.019941188386105,-1.019941188386105
BTC/USDT,15m,deep,1766154600000,short,false,true,true,false,entered,-1.041242340501253,entered,-1.0664417471605987,entered,-1.0562242620590354,-1.041242340501253,-1.041242340501253,75,1.6178010471204263,-1.041242340501253,-1.041242340501253,-1.041242340501253,-1.041242340501253
BTC/USDT,15m,ote,1766322000000,long,false,true,false,true,entered,0.19562082974383244,missed-tp,0,missed-tp,0,0.7171450027718149,0.27240948446604485,17,0.27226463104325227,-1.1716260338397253,-1.1716260338397253,-1.1716260338397253,-1.1716260338397253
BTC/USDT,15m,deep,1766323800000,long,true,true,false,false,entered,-1.3529247711990111,entered,-3.043051162790796,missed-stop,0,-1.3529247711990111,-1.3529247711990111,19,1.6178010471203736,-1.3529247711990111,-1.3529247711990111,-1.3529247711990111,-1.3529247711990111
BTC/USDT,15m,ote,1766693700000,long,false,true,false,true,entered,0.21730169286348217,missed-tp,0,missed-tp,0,-1.1228440918205402,-1.1228440918205402,19,0.2722646310432642,-1.1228440918205402,-1.1228440918205402,-1.1228440918205402,-1.1228440918205402
BTC/USDT,15m,deep,1766702700000,long,false,true,false,false,entered,-1.2525514559448767,entered,-1.3146794291591715,entered,-1.282766528066532,-1.2525514559448767,-1.2525514559448767,29,1.6178010471203883,-1.2525514559448767,-1.2525514559448767,-1.2525514559448767,-1.2525514559448767
BTC/USDT,15m,ote,1766714400000,short,true,true,false,false,entered,-1.079003241294801,entered,-1.2930049490883238,missed-stop,0,-1.079003241294801,-1.079003241294801,9,0.27226463104325027,-1.079003241294801,-1.079003241294801,-1.079003241294801,-1.079003241294801
BTC/USDT,15m,deep,1766714400000,short,false,true,false,false,entered,-1.1627679258055343,entered,-1.2930049490883238,missed-stop,0,-1.1627679258055343,-1.1627679258055343,9,1.6178010471204312,0.9281698107530958,-1.1627679258055343,-1.1627679258055343,-1.1627679258055343
BTC/USDT,15m,ote,1767733200000,short,false,true,false,false,entered,0.25335976191132425,entered,0.26646219358232515,entered,0.5505962512077295,0.7750925863388023,0.36621705585399705,13,0.2722646310432526,0.981240677941863,1.4813406779418632,-1.043358474630808,-1.043358474630808
BTC/USDT,15m,deep,1767734100000,short,false,true,false,false,entered,1.5786910284353368,entered,0.8928238735550881,entered,0.5505962512077295,2.652204117440564,1.2817392824639795,14,1.617801047120404,0.9607664211055089,1.4608664211055087,1.9609664211055087,2.9611664211055087
