scenario,group,stopRatio,takeRatio,n,totalR,avgR,wr
deep,all,-15,50,1861,286.332,0.1539,96.6
deep,15m,-15,50,547,81.928,0.1498,97.4
deep,30m,-15,50,625,94.669,0.1515,96.3
deep,1h,-15,50,689,109.735,0.1593,96.2
deep,BTC/USDT,-15,50,141,19.240,0.1365,96.5
deep,ETH/USDT,-15,50,114,18.926,0.1660,97.4
deep,SOL/USDT,-15,50,143,19.593,0.1370,95.1
deep,XRP/USDT,-15,50,141,17.903,0.1270,95.0
deep,BNB/USDT,-15,50,126,20.015,0.1589,98.4
deep,DOGE/USDT,-15,50,131,23.704,0.1809,98.5
deep,ADA/USDT,-15,50,133,17.725,0.1333,94.7
deep,AVAX/USDT,-15,50,136,25.839,0.1900,99.3
deep,LINK/USDT,-15,50,141,21.717,0.1540,96.5
deep,SUI/USDT,-15,50,122,22.028,0.1806,98.4
deep,TON/USDT,-15,50,133,18.956,0.1425,95.5
deep,NEAR/USDT,-15,50,142,19.384,0.1365,94.4
deep,APT/USDT,-15,50,135,25.086,0.1858,98.5
deep,LTC/USDT,-15,50,123,16.214,0.1318,95.1
deep,H1,-15,50,928,140.784,0.1517,95.9
deep,H2,-15,50,933,145.548,0.1560,97.3
deep,all,-15,61.8,1861,374.015,0.2010,85.2
deep,15m,-15,61.8,547,123.196,0.2252,87.9
deep,30m,-15,61.8,625,126.857,0.2030,85.3
deep,1h,-15,61.8,689,123.962,0.1799,83.0
deep,BTC/USDT,-15,61.8,141,25.785,0.1829,85.1
deep,ETH/USDT,-15,61.8,114,33.276,0.2919,91.2
deep,SOL/USDT,-15,61.8,143,30.644,0.2143,86.0
deep,XRP/USDT,-15,61.8,141,24.137,0.1712,83.7
deep,BNB/USDT,-15,61.8,126,26.764,0.2124,87.3
deep,DOGE/USDT,-15,61.8,131,17.163,0.1310,80.2
deep,ADA/USDT,-15,61.8,133,19.321,0.1453,81.2
deep,AVAX/USDT,-15,61.8,136,32.313,0.2376,87.5
deep,LINK/USDT,-15,61.8,141,22.399,0.1589,82.3
deep,SUI/USDT,-15,61.8,122,28.146,0.2307,86.9
deep,TON/USDT,-15,61.8,133,33.997,0.2556,88.7
deep,NEAR/USDT,-15,61.8,142,25.776,0.1815,83.1
deep,APT/USDT,-15,61.8,135,28.260,0.2093,85.2
deep,LTC/USDT,-15,61.8,123,26.034,0.2117,86.2
deep,H1,-15,61.8,928,186.000,0.2004,84.7
deep,H2,-15,61.8,933,188.015,0.2015,85.7
deep,all,-15,70,1861,374.338,0.2011,77.2
deep,15m,-15,70,547,128.238,0.2344,80.3
deep,30m,-15,70,625,119.613,0.1914,76.5
deep,1h,-15,70,689,126.487,0.1836,75.3
deep,BTC/USDT,-15,70,141,31.011,0.2199,79.4
deep,ETH/USDT,-15,70,114,29.816,0.2615,80.7
deep,SOL/USDT,-15,70,143,38.288,0.2677,81.1
deep,XRP/USDT,-15,70,141,22.729,0.1612,75.2
deep,BNB/USDT,-15,70,126,22.393,0.1777,77.0
deep,DOGE/USDT,-15,70,131,15.517,0.1185,71.8
deep,ADA/USDT,-15,70,133,24.616,0.1851,75.9
deep,AVAX/USDT,-15,70,136,19.826,0.1458,73.5
deep,LINK/USDT,-15,70,141,20.667,0.1466,73.8
deep,SUI/USDT,-15,70,122,33.122,0.2715,81.1
deep,TON/USDT,-15,70,133,40.820,0.3069,83.5
deep,NEAR/USDT,-15,70,142,26.123,0.1840,75.4
deep,APT/USDT,-15,70,135,24.967,0.1849,75.6
deep,LTC/USDT,-15,70,123,24.443,0.1987,77.2
deep,H1,-15,70,928,175.809,0.1894,76.0
deep,H2,-15,70,933,198.529,0.2128,78.3
