symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be,sweep_in,sweep_ev_full,sweep_ev_be,nosweep_in,nosweep_ev_full,nosweep_ev_be,ev_full_net,ev_be_net,stop_tp_pct,ext141_pct,ext200_pct,ext241_pct,win_mae_med,win_mae_p90
XRP/USDT,30m,base,full,local,bos,0,ote,zero,218,131,130,0.5725,0.3817,0.4198,0.0349,0.2033,58,-0.0244,0.0497,73,0.0813,0.3232,83,-0.0490,0.1264,48,0.1832,0.3390,-0.0019,0.1659,0.0759,0.5725,0.4580,0.3817,-0.3032,-0.8882
XRP/USDT,30m,base,full,local,bos,0,ote,zero200,218,131,130,0.5725,0.4580,0.4198,0.0349,0.1624,58,-0.0244,0.0714,73,0.0813,0.2334,83,-0.0490,0.0941,48,0.1832,0.2829,-0.0019,0.1251,0.0714,0.5725,0.4580,0.3817,-0.3032,-0.8882
XRP/USDT,30m,base,full,local,bos,0,deep,zero,218,61,61,0.2787,0.1803,0.7213,0.0287,0.1323,29,-0.2363,-0.1486,32,0.2688,0.3869,37,0.0974,0.1995,24,-0.0772,0.0288,-0.0789,0.0240,0.1000,0.2787,0.2131,0.1803,-0.4447,-0.8013
XRP/USDT,30m,base,full,local,bos,0,deep,zero200,218,61,61,0.2787,0.2131,0.7213,0.0287,0.1050,29,-0.2363,-0.1496,32,0.2688,0.3357,37,0.0974,0.2125,24,-0.0772,-0.0606,-0.0789,-0.0030,0.1042,0.2787,0.2131,0.1803,-0.4447,-0.8013
XRP/USDT,30m,base,full,local,bos,0,breaker,zero,104,63,63,0.6984,0.3492,0.3016,-0.0152,0.0878,28,0.0575,0.1052,35,-0.0734,0.0739,50,-0.0130,0.1114,13,-0.0238,-0.0031,-0.0469,0.0552,0.0526,0.6984,0.5238,0.3492,-0.1522,-0.7444
XRP/USDT,30m,base,full,local,bos,0,breaker161,zero,64,20,20,0.6500,0.3500,0.3500,-0.0835,0.0300,9,-0.0600,-0.0400,11,-0.1027,0.0873,17,-0.0047,0.1409,3,-0.5300,-0.5983,-0.1042,0.0087,0.1000,0.6500,0.5500,0.3500,-0.2579,-0.5610
XRP/USDT,30m,base,full,local,bos,0,oteRegime,zero,120,67,66,0.5821,0.3731,0.4030,0.0600,0.2168,29,0.0251,0.0565,38,0.0858,0.3349,41,-0.0374,0.1527,26,0.2198,0.3218,0.0256,0.1817,0.1000,0.5821,0.4776,0.3731,-0.1581,-0.6748
XRP/USDT,30m,base,full,local,bos,0,deepRegime,zero,120,28,28,0.1429,0.0714,0.8571,-0.4727,-0.4753,12,-1.0000,-1.0000,16,-0.0772,-0.0818,13,-0.4321,-0.6391,15,-0.5079,-0.3333,-0.5865,-0.5898,0.1154,0.1429,0.1071,0.0714,-0.1615,-0.4447
XRP/USDT,30m,base,full,local,bos,0,oteDedupCd,zero,115,28,27,0.5714,0.4286,0.3929,0.0630,0.2870,9,-0.1031,-0.0433,19,0.1330,0.4260,17,-0.0503,0.1042,11,0.2557,0.5977,0.0343,0.2579,0.0667,0.5714,0.5714,0.4286,-0.1344,-0.6365
XRP/USDT,30m,base,full,local,bos,0,oteDedupOp,zero,118,31,30,0.6129,0.4194,0.3548,0.1361,0.3324,9,0.1212,0.1314,22,0.1416,0.4055,17,-0.0503,0.0434,14,0.3799,0.7103,0.1089,0.3047,0.0588,0.6129,0.5806,0.4194,-0.1396,-0.7313
XRP/USDT,30m,base,full,local,bos,0,oteDedupLo,zero,198,111,110,0.6036,0.4054,0.3874,0.0926,0.2735,52,-0.0855,-0.0245,59,0.2466,0.5311,66,0.0057,0.2058,45,0.2231,0.3751,0.0563,0.2366,0.0938,0.6036,0.4865,0.4054,-0.3032,-0.8990
XRP/USDT,30m,base,full,local,bos,0,deepDedupCd,zero,191,34,34,0.4118,0.2941,0.5882,0.5199,0.7465,15,0.2304,0.4897,19,0.7484,0.9493,23,0.6048,0.8277,11,0.3422,0.5769,0.4051,0.6309,0.1667,0.4118,0.3529,0.2941,-0.3232,-0.8013
XRP/USDT,30m,base,full,local,bos,0,deepDedupOp,zero,200,43,43,0.3488,0.2093,0.6512,0.2876,0.3738,20,0.1073,0.2346,23,0.4443,0.4949,27,0.3671,0.4586,16,0.1535,0.2307,0.1788,0.2639,0.1176,0.3488,0.2558,0.2093,-0.4447,-0.8013
XRP/USDT,30m,base,full,local,bos,0,deepDedupLo,zero,202,45,45,0.2889,0.1778,0.7111,0.0663,0.1495,24,-0.2310,-0.1795,21,0.4061,0.5256,28,0.0546,0.1442,17,0.0856,0.1583,-0.0422,0.0402,0.1081,0.2889,0.2000,0.1778,-0.4472,-0.8013
