symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be,sweep_in,sweep_ev_full,sweep_ev_be,nosweep_in,nosweep_ev_full,nosweep_ev_be,ev_full_net,ev_be_net,stop_tp_pct,ext141_pct,ext200_pct,ext241_pct,win_mae_med,win_mae_p90
XRP/USDT,30m,base,full,local,bos,0,ote,zero,254,152,150,0.5724,0.3092,0.4145,0.0405,0.1339,71,-0.0262,0.0387,81,0.0988,0.2172,88,0.0928,0.2072,64,-0.0319,0.0327,-0.0159,0.0762,0.1414,0.5855,0.4145,0.3092,-0.3799,-0.7378
XRP/USDT,30m,base,full,local,bos,0,ote,zero200,254,152,150,0.5724,0.4145,0.4145,0.0405,0.1346,71,-0.0262,0.0452,81,0.0988,0.2128,88,0.0928,0.1794,64,-0.0319,0.0726,-0.0159,0.0774,0.1609,0.5855,0.4145,0.3092,-0.3799,-0.7378
XRP/USDT,30m,base,full,local,bos,0,deep,zero,254,81,81,0.4321,0.2469,0.5679,0.5949,0.6689,34,0.8455,1.0316,47,0.4136,0.4066,51,0.5199,0.6945,30,0.7225,0.6255,0.4228,0.4944,0.1967,0.4691,0.3210,0.2469,-0.2406,-0.8719
XRP/USDT,30m,base,full,local,bos,0,deep,zero200,254,81,81,0.4321,0.3210,0.5679,0.5949,0.6933,34,0.8455,0.9202,47,0.4136,0.5291,51,0.5199,0.6302,30,0.7225,0.8005,0.4228,0.5201,0.2182,0.4691,0.3210,0.2469,-0.2406,-0.8719
XRP/USDT,30m,base,full,local,bos,0,breaker,zero,142,90,90,0.7222,0.4000,0.2778,0.0183,0.1523,38,-0.0724,0.0339,52,0.0846,0.2388,58,0.0697,0.2545,32,-0.0747,-0.0330,-0.0345,0.0977,0.1538,0.7333,0.5222,0.4000,-0.2241,-0.7568
XRP/USDT,30m,base,full,local,bos,0,breaker161,zero,92,32,32,0.6250,0.4375,0.3750,-0.1188,0.0616,12,-0.2950,-0.2800,20,-0.0130,0.2665,21,-0.1943,0.0243,11,0.0255,0.1327,-0.1528,0.0270,0.0556,0.6250,0.4688,0.4375,-0.2120,-0.6706
XRP/USDT,30m,base,full,local,bos,0,oteRegime,zero,139,78,76,0.5641,0.3333,0.4103,0.0386,0.1622,43,-0.0603,0.0023,35,0.1608,0.3597,44,0.0430,0.1966,34,0.0328,0.1174,0.0035,0.1263,0.0816,0.5641,0.3974,0.3333,-0.3765,-0.6110
XRP/USDT,30m,base,full,local,bos,0,deepRegime,zero,139,28,28,0.3571,0.2857,0.6429,0.3182,0.5961,14,0.5819,0.9533,14,0.0546,0.2390,19,0.5541,0.8258,9,-0.1798,0.1111,0.1985,0.4756,0.1500,0.3929,0.2857,0.2857,-0.1721,-0.2819
XRP/USDT,30m,base,full,local,bos,0,oteDedupCd,zero,148,46,46,0.6087,0.3696,0.3913,0.0919,0.2321,19,0.0386,0.1350,27,0.1295,0.3004,28,0.0891,0.2909,18,0.0963,0.1407,0.0393,0.1786,0.2500,0.6304,0.4565,0.3696,-0.1958,-0.7664
XRP/USDT,30m,base,full,local,bos,0,oteDedupOp,zero,158,56,56,0.5893,0.3750,0.4107,0.0571,0.2106,24,0.0464,0.1592,32,0.0651,0.2491,33,0.0328,0.2426,23,0.0919,0.1647,0.0080,0.1606,0.3333,0.6071,0.4464,0.3750,-0.3755,-0.5977
