symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be,sweep_in,sweep_ev_full,sweep_ev_be,nosweep_in,nosweep_ev_full,nosweep_ev_be,ev_full_net,ev_be_net,stop_tp_pct,ext141_pct,ext200_pct,ext241_pct,win_mae_med,win_mae_p90
BTC/USDT,30m,base,full,local,bos,0,ote,zero,176,99,98,0.5960,0.3131,0.3939,0.0800,0.1678,55,0.1295,0.2239,44,0.0193,0.0989,82,0.1295,0.2112,17,-0.1558,-0.0388,-0.0119,0.0736,0.1875,0.6061,0.3939,0.3232,-0.3016,-0.7862
BTC/USDT,30m,base,full,local,bos,0,ote,zero200,176,99,98,0.5960,0.3838,0.3939,0.0800,0.1405,55,0.1295,0.1799,44,0.0193,0.0921,82,0.1295,0.1942,17,-0.1558,-0.1155,-0.0119,0.0468,0.1930,0.6061,0.3939,0.3232,-0.3016,-0.7862
BTC/USDT,30m,base,full,local,bos,0,deep,zero,176,55,54,0.2727,0.0727,0.7091,0.0253,-0.1518,29,-0.0772,-0.2240,26,0.1357,-0.0741,46,0.1483,-0.0933,9,-0.5899,-0.4444,-0.2263,-0.4069,0.2000,0.2909,0.1091,0.0909,-0.5326,-0.8500
BTC/USDT,30m,base,full,local,bos,0,deep,zero200,176,55,54,0.2727,0.0909,0.7091,0.0253,-0.1524,29,-0.0772,-0.1867,26,0.1357,-0.1154,46,0.1483,-0.0820,9,-0.5899,-0.5041,-0.2263,-0.4073,0.1837,0.2909,0.1091,0.0909,-0.5326,-0.8500
BTC/USDT,30m,base,full,local,bos,0,breaker,zero,107,58,58,0.7414,0.4828,0.2586,0.0453,0.2337,32,0.1456,0.3536,26,-0.0781,0.0862,41,0.0661,0.2378,17,-0.0047,0.2238,-0.0250,0.1617,0.2414,0.7586,0.5862,0.5000,-0.2465,-0.5905
BTC/USDT,30m,base,full,local,bos,0,breaker161,zero,70,25,25,0.7600,0.5200,0.2400,0.0716,0.2824,16,0.1456,0.4197,9,-0.0600,0.0383,18,-0.0600,0.1167,7,0.4100,0.7086,0.0024,0.2111,0.2727,0.7600,0.6000,0.5200,-0.2658,-0.5970
BTC/USDT,30m,base,full,local,bos,0,oteRegime,zero,83,42,42,0.6667,0.3810,0.3333,0.1959,0.3249,24,0.3454,0.6073,18,-0.0034,-0.0517,34,0.2663,0.4115,8,-0.1031,-0.0433,0.1226,0.2500,0.1667,0.6667,0.4286,0.3810,-0.2097,-0.6560
BTC/USDT,30m,base,full,local,bos,0,deepRegime,zero,83,20,20,0.2500,0.1000,0.7500,-0.0772,-0.1482,9,-0.1798,0.1111,11,0.0067,-0.3603,16,0.1535,0.0648,4,-1.0000,-1.0000,-0.2766,-0.3495,0.1667,0.2500,0.1000,0.1000,-0.3201,-0.8495
BTC/USDT,30m,base,full,local,bos,5,ote,zero,114,55,55,0.6364,0.3636,0.3636,0.1416,0.2646,35,0.1788,0.3017,20,0.0763,0.1997,46,0.1699,0.3153,9,-0.0034,0.0057,0.0912,0.2132,0.0625,0.6364,0.4364,0.3636,-0.2223,-0.7199
BTC/USDT,30m,base,full,local,bos,5,ote,zero200,114,55,55,0.6364,0.4364,0.3636,0.1416,0.2260,35,0.1788,0.2490,20,0.0763,0.1857,46,0.1699,0.2804,9,-0.0034,-0.0523,0.0912,0.1749,0.0714,0.6364,0.4364,0.3636,-0.2223,-0.7199
