symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be,sweep_in,sweep_ev_full,sweep_ev_be,nosweep_in,nosweep_ev_full,nosweep_ev_be,ev_full_net,ev_be_net,stop_tp_pct,ext141_pct,ext200_pct,ext241_pct,win_mae_med,win_mae_p90
BTC/USDT,30m,base,full,local,bos,0,ote,zero,208,113,112,0.5575,0.2566,0.4336,0.0091,0.0533,44,-0.0623,-0.1289,69,0.0552,0.1712,75,0.1151,0.2034,38,-0.1975,-0.2391,-0.0496,-0.0066,0.1392,0.5664,0.3363,0.2655,-0.3749,-0.8992
BTC/USDT,30m,base,full,local,bos,0,ote,zero200,208,113,112,0.5575,0.3274,0.4336,0.0091,0.0409,44,-0.0623,-0.1118,69,0.0552,0.1397,75,0.1151,0.1710,38,-0.1975,-0.2125,-0.0496,-0.0188,0.1408,0.5664,0.3363,0.2655,-0.3749,-0.8992
BTC/USDT,30m,base,full,local,bos,0,deep,zero,208,67,67,0.3582,0.1791,0.6418,0.3222,0.3156,27,-0.1798,-0.2821,40,0.6610,0.7191,40,0.4764,0.5355,27,0.0937,-0.0101,0.1611,0.1524,0.2037,0.3881,0.2388,0.1940,-0.5827,-0.9080
BTC/USDT,30m,base,full,local,bos,0,deep,zero200,208,67,67,0.3582,0.2239,0.6418,0.3222,0.3143,27,-0.1798,-0.2435,40,0.6610,0.6908,40,0.4764,0.4677,27,0.0937,0.0872,0.1611,0.1513,0.1961,0.3881,0.2388,0.1940,-0.5827,-0.9080
BTC/USDT,30m,base,full,local,bos,0,breaker,zero,115,66,65,0.6970,0.3788,0.2879,-0.0022,0.1239,23,0.0422,0.1359,43,-0.0264,0.1174,48,0.0200,0.1867,18,-0.0600,-0.0400,-0.0527,0.0721,0.2051,0.7121,0.5000,0.3939,-0.3307,-0.8362
BTC/USDT,30m,base,full,local,bos,0,breaker161,zero,80,31,30,0.6452,0.3871,0.3226,-0.0600,0.0853,10,-0.0130,0.0550,21,-0.0835,0.1005,25,-0.1187,0.0175,6,0.1750,0.3567,-0.0923,0.0525,0.2222,0.6452,0.4839,0.3871,-0.4523,-0.8692
BTC/USDT,30m,base,full,local,bos,0,oteRegime,zero,100,49,48,0.5510,0.3061,0.4286,0.0091,0.1086,10,0.0763,-0.0585,39,-0.0086,0.1526,34,0.1416,0.2959,15,-0.2824,-0.3035,-0.0444,0.0546,0.1034,0.5510,0.3878,0.3061,-0.3542,-0.9020
BTC/USDT,30m,base,full,local,bos,0,deepRegime,zero,100,29,29,0.4483,0.2759,0.5517,0.6546,0.7837,7,0.5819,0.3844,22,0.6778,0.9108,20,0.8455,1.1018,9,0.2304,0.0768,0.5025,0.6302,0.1500,0.4483,0.3103,0.2759,-0.6059,-0.8358
BTC/USDT,30m,base,full,local,bos,0,oteDedupCd,zero,131,36,36,0.5833,0.3889,0.4167,0.0464,0.2166,12,-0.2525,-0.2458,24,0.1959,0.4478,26,0.1039,0.3365,10,-0.1031,-0.0949,-0.0095,0.1601,0.0952,0.5833,0.4167,0.3889,-0.3153,-0.8707
BTC/USDT,30m,base,full,local,bos,0,oteDedupOp,zero,135,40,40,0.6250,0.3750,0.3750,0.1212,0.2605,14,-0.2312,-0.2537,26,0.3109,0.5374,28,0.1532,0.3039,12,0.0464,0.1592,0.0726,0.2114,0.1250,0.6250,0.5000,0.3750,-0.6210,-0.9202
BTC/USDT,30m,base,full,local,bos,0,oteDedupLo,zero,197,102,101,0.5784,0.2745,0.4118,0.0479,0.1024,39,-0.0341,-0.1154,63,0.0995,0.2394,68,0.1513,0.2512,34,-0.1558,-0.1907,-0.0132,0.0401,0.1449,0.5882,0.3529,0.2843,-0.3542,-0.9020
BTC/USDT,30m,base,full,local,bos,0,deepDedupCd,zero,179,38,38,0.4474,0.2105,0.5526,0.6513,0.6082,14,0.0546,-0.1402,24,0.9993,1.0447,23,0.9258,0.9162,15,0.2304,0.1358,0.4926,0.4461,0.1724,0.4474,0.2632,0.2105,-0.6059,-0.8499
BTC/USDT,30m,base,full,local,bos,0,deepDedupOp,zero,184,43,43,0.4186,0.2093,0.5814,0.5451,0.5374,15,-0.0157,-0.1976,28,0.8455,0.9312,26,0.8455,0.8874,17,0.0856,0.0022,0.3691,0.3584,0.1818,0.4186,0.2558,0.2093,-0.5827,-0.8499
BTC/USDT,30m,base,full,local,bos,0,deepDedupLo,zero,199,58,58,0.3621,0.1897,0.6379,0.3364,0.3527,23,-0.1976,-0.3747,35,0.6874,0.8307,35,0.4764,0.5450,23,0.1234,0.0601,0.1702,0.1846,0.2174,0.3966,0.2414,0.2069,-0.6575,-0.9080
BTC/USDT,30m,base,full,local,bos,0,breakerDedupCd,zero,83,34,34,0.7353,0.5000,0.2647,0.0368,0.2385,10,-0.1540,0.0755,24,0.1162,0.3065,24,0.0575,0.3150,10,-0.0130,0.0550,-0.0087,0.1920,0.1875,0.7353,0.5882,0.5000,-0.2278,-0.8692
BTC/USDT,30m,base,full,local,bos,0,breakerDedupOp,zero,92,43,43,0.6977,0.4419,0.3023,-0.0163,0.1522,12,0.0575,0.1975,31,-0.0448,0.1347,31,-0.0448,0.1802,12,0.0575,0.0800,-0.0656,0.1018,0.2609,0.6977,0.4884,0.4419,-0.3307,-0.8362
BTC/USDT,30m,base,full,local,bos,0,breakerDedupLo,zero,109,60,59,0.7167,0.3833,0.2667,0.0276,0.1531,20,0.1280,0.2107,40,-0.0238,0.1235,44,0.0493,0.2247,16,-0.0306,-0.0394,-0.0255,0.0986,0.2286,0.7333,0.5167,0.4000,-0.3452,-0.8362
BTC/USDT,30m,base,full,local,bos,0,breaker161DedupCd,zero,70,21,20,0.6190,0.4286,0.3333,-0.0835,0.1005,5,-0.1540,0.0050,16,-0.0600,0.1323,17,-0.1187,0.0175,4,0.0575,0.4325,-0.1138,0.0699,0.1818,0.6190,0.4762,0.4286,-0.4924,-0.8717
BTC/USDT,30m,base,full,local,bos,0,breaker161DedupOp,zero,73,24,23,0.6250,0.3750,0.3333,-0.0804,0.0617,7,0.0071,0.0621,17,-0.1187,0.0616,18,-0.1706,-0.0424,6,0.1750,0.3567,-0.1134,0.0281,0.2857,0.6250,0.4167,0.3750,-0.4924,-0.8717
BTC/USDT,30m,base,full,local,bos,0,breaker161DedupLo,zero,78,29,28,0.6897,0.4138,0.2759,0.0071,0.1629,9,0.0967,0.1722,20,-0.0353,0.1584,23,-0.0386,0.1100,6,0.1750,0.3567,-0.0263,0.1288,0.2500,0.6897,0.5172,0.4138,-0.4523,-0.8692
BTC/USDT,30m,base,full,local,bos,0,oteCombo,zero,72,21,21,0.6667,0.4286,0.3333,0.1959,0.3740,5,0.0763,-0.1618,16,0.2333,0.5415,15,0.3155,0.5754,6,-0.1031,-0.1293,0.1536,0.3314,0.0000,0.6667,0.5238,0.4286,-0.2543,-0.9020
BTC/USDT,30m,base,full,local,bos,0,deepCombo,zero,94,23,23,0.5217,0.3478,0.4783,0.9258,1.1471,5,0.4764,0.4691,18,1.0506,1.3354,15,1.2147,1.6461,8,0.3842,0.2114,0.7713,0.9911,0.1429,0.5217,0.3913,0.3478,-0.6059,-0.8358
BTC/USDT,30m,base,full,local,bos,0,breakerCombo,zero,83,34,34,0.7353,0.5000,0.2647,0.0368,0.2385,10,-0.1540,0.0755,24,0.1162,0.3065,24,0.0575,0.3150,10,-0.0130,0.0550,-0.0087,0.1920,0.1875,0.7353,0.5882,0.5000,-0.2278,-0.8692
BTC/USDT,30m,base,full,local,bos,0,breaker161Combo,zero,70,21,20,0.6190,0.4286,0.3333,-0.0835,0.1005,5,-0.1540,0.0050,16,-0.0600,0.1323,17,-0.1187,0.0175,4,0.0575,0.4325,-0.1138,0.0699,0.1818,0.6190,0.4762,0.4286,-0.4924,-0.8717
BTC/USDT,30m,base,full,local,bos,5,ote,zero,142,64,63,0.5625,0.2031,0.4219,0.0251,0.0114,27,-0.0034,-0.1091,37,0.0464,0.1019,42,0.0938,0.1290,22,-0.1031,-0.2076,-0.0059,-0.0203,0.0435,0.5625,0.2969,0.2031,-0.2909,-0.8992
