symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be,sweep_in,sweep_ev_full,sweep_ev_be,nosweep_in,nosweep_ev_full,nosweep_ev_be,ev_full_net,ev_be_net,stop_tp_pct,ext141_pct,ext200_pct,ext241_pct,win_mae_med,win_mae_p90
BTC/USDT,30m,base,full,local,bos,0,ote,zero,253,158,156,0.6329,0.3987,0.3544,0.1499,0.3127,84,0.0158,0.1893,74,0.3024,0.4529,114,0.1212,0.2789,44,0.2231,0.3986,0.0653,0.2265,0.1505,0.6392,0.4494,0.3987,-0.3271,-0.8504
BTC/USDT,30m,base,full,local,bos,0,ote,zero200,253,158,156,0.6329,0.4494,0.3544,0.1499,0.2470,84,0.0158,0.1167,74,0.3024,0.3951,114,0.1212,0.2110,44,0.2231,0.3386,0.0653,0.1611,0.1647,0.6392,0.4494,0.3987,-0.3271,-0.8504
BTC/USDT,30m,base,full,local,bos,0,deep,zero,253,85,85,0.4588,0.3294,0.5412,0.6936,0.9506,53,0.6018,0.8192,32,0.8455,1.1682,61,0.7548,1.0289,24,0.5380,0.7515,0.4545,0.7093,0.2105,0.4706,0.3529,0.3294,-0.5332,-0.8483
BTC/USDT,30m,base,full,local,bos,0,deep,zero200,253,85,85,0.4588,0.3529,0.5412,0.6936,0.8237,53,0.6018,0.6972,32,0.8455,1.0331,61,0.7548,0.8789,24,0.5380,0.6832,0.4545,0.5828,0.2182,0.4706,0.3529,0.3294,-0.5332,-0.8483
BTC/USDT,30m,base,full,local,bos,0,breaker,zero,121,70,70,0.7857,0.4857,0.2143,0.1079,0.2892,40,0.1280,0.3694,30,0.0810,0.1823,54,0.1489,0.3213,16,-0.0306,0.1809,0.0191,0.1986,0.1944,0.7857,0.5714,0.4857,-0.1795,-0.8598
BTC/USDT,30m,base,full,local,bos,0,breaker161,zero,80,26,26,0.7692,0.3846,0.2308,0.0846,0.1981,13,0.0846,0.3065,13,0.0846,0.0896,18,0.0967,0.1331,8,0.0575,0.3444,0.0131,0.1245,0.2500,0.7692,0.4615,0.3846,-0.1760,-0.9114
BTC/USDT,30m,base,full,local,bos,0,oteRegime,zero,156,93,92,0.6237,0.4301,0.3656,0.1309,0.3298,43,-0.0405,0.1316,50,0.2814,0.5038,67,0.0600,0.2481,26,0.3109,0.5374,0.0662,0.2641,0.1346,0.6237,0.4731,0.4301,-0.2800,-0.8275
BTC/USDT,30m,base,full,local,bos,0,deepRegime,zero,156,40,40,0.4250,0.2500,0.5750,0.5687,0.6605,23,0.4443,0.3795,17,0.7370,1.0407,30,0.5995,0.7243,10,0.4764,0.4691,0.3801,0.4689,0.2000,0.4250,0.2500,0.2500,-0.5123,-0.8725
BTC/USDT,30m,base,full,local,bos,0,oteDedupCd,zero,155,60,59,0.6333,0.3833,0.3500,0.1554,0.3025,33,-0.1302,0.0530,27,0.5179,0.6191,46,0.1162,0.2595,14,0.2814,0.4406,0.0532,0.1982,0.1111,0.6333,0.4500,0.3833,-0.3691,-0.8733
BTC/USDT,30m,base,full,local,bos,0,oteDedupOp,zero,163,68,67,0.6324,0.3382,0.3529,0.1513,0.2512,35,-0.0262,0.0830,33,0.3454,0.4351,52,0.1256,0.2209,16,0.2333,0.3478,0.0578,0.1554,0.1364,0.6324,0.3971,0.3382,-0.3639,-0.8504
