symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be,sweep_in,sweep_ev_full,sweep_ev_be,nosweep_in,nosweep_ev_full,nosweep_ev_be,ev_full_net,ev_be_net,stop_tp_pct,ext141_pct,ext200_pct,ext241_pct,win_mae_med,win_mae_p90
BTC/USDT,30m,base,full,local,bos,0,ote,zero,176,99,98,0.5960,0.3131,0.3939,0.0800,0.1678,55,0.1295,0.2239,44,0.0193,0.0989,82,0.1295,0.2112,17,-0.1558,-0.0388,-0.0119,0.0736,0.1875,0.6061,0.3939,0.3232,-0.3016,-0.7862
BTC/USDT,30m,base,full,local,bos,0,ote,zero200,176,99,98,0.5960,0.3838,0.3939,0.0800,0.1405,55,0.1295,0.1799,44,0.0193,0.0921,82,0.1295,0.1942,17,-0.1558,-0.1155,-0.0119,0.0468,0.1930,0.6061,0.3939,0.3232,-0.3016,-0.7862
BTC/USDT,30m,base,full,local,bos,0,deep,zero,176,55,54,0.2727,0.0727,0.7091,0.0253,-0.1518,29,-0.0772,-0.2240,26,0.1357,-0.0741,46,0.1483,-0.0933,9,-0.5899,-0.4444,-0.2263,-0.4069,0.2000,0.2909,0.1091,0.0909,-0.5326,-0.8500
BTC/USDT,30m,base,full,local,bos,0,deep,zero200,176,55,54,0.2727,0.0909,0.7091,0.0253,-0.1524,29,-0.0772,-0.1867,26,0.1357,-0.1154,46,0.1483,-0.0820,9,-0.5899,-0.5041,-0.2263,-0.4073,0.1837,0.2909,0.1091,0.0909,-0.5326,-0.8500
BTC/USDT,30m,base,full,local,bos,0,breaker,zero,107,58,58,0.7414,0.4828,0.2586,0.0453,0.2337,32,0.1456,0.3536,26,-0.0781,0.0862,41,0.0661,0.2378,17,-0.0047,0.2238,-0.0250,0.1617,0.2414,0.7586,0.5862,0.5000,-0.2465,-0.5905
BTC/USDT,30m,base,full,local,bos,0,breaker161,zero,70,25,25,0.7600,0.5200,0.2400,0.0716,0.2824,16,0.1456,0.4197,9,-0.0600,0.0383,18,-0.0600,0.1167,7,0.4100,0.7086,0.0024,0.2111,0.2727,0.7600,0.6000,0.5200,-0.2658,-0.5970
BTC/USDT,30m,base,full,local,bos,0,oteDedupCd,zero,103,26,26,0.6923,0.4231,0.3077,0.2419,0.4042,8,0.3454,0.4351,18,0.1959,0.3904,23,0.2479,0.4210,3,0.1959,0.2757,0.1542,0.3142,0.2143,0.6923,0.5385,0.4231,-0.2425,-0.8799
BTC/USDT,30m,base,full,local,bos,0,oteDedupOp,zero,107,30,30,0.6667,0.4000,0.3333,0.1959,0.3445,9,0.5946,0.7009,21,0.0251,0.1918,24,0.2707,0.4200,6,-0.1031,0.0428,0.1121,0.2587,0.2353,0.7000,0.5333,0.4333,-0.2494,-0.7199
BTC/USDT,30m,base,full,local,bos,0,oteDedupLo,zero,169,92,91,0.5870,0.3152,0.4022,0.0645,0.1582,52,0.0904,0.1935,40,0.0315,0.1132,75,0.1151,0.2034,17,-0.1558,-0.0388,-0.0288,0.0626,0.1864,0.5978,0.3913,0.3261,-0.2494,-0.7728
BTC/USDT,30m,base,full,local,bos,0,deepDedupCd,zero,150,29,28,0.4138,0.1034,0.5517,0.5819,0.2896,15,0.5819,0.1948,14,0.5819,0.3844,26,0.6241,0.2444,3,0.2304,0.6667,0.3023,0.0045,0.3200,0.4138,0.1379,0.1034,-0.5326,-0.8500
