symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be,sweep_in,sweep_ev_full,sweep_ev_be,nosweep_in,nosweep_ev_full,nosweep_ev_be,ev_full_net,ev_be_net,stop_tp_pct,ext141_pct,ext200_pct,ext241_pct,win_mae_med,win_mae_p90
BTC/USDT,30m,base,full,local,bos,0,ote,zero,208,113,112,0.5575,0.2566,0.4336,0.0091,0.0533,44,-0.0623,-0.1289,69,0.0552,0.1712,75,0.1151,0.2034,38,-0.1975,-0.2391,-0.0496,-0.0066,0.1392,0.5664,0.3363,0.2655,-0.3749,-0.8992
BTC/USDT,30m,base,full,local,bos,0,ote,zero200,208,113,112,0.5575,0.3274,0.4336,0.0091,0.0409,44,-0.0623,-0.1118,69,0.0552,0.1397,75,0.1151,0.1710,38,-0.1975,-0.2125,-0.0496,-0.0188,0.1408,0.5664,0.3363,0.2655,-0.3749,-0.8992
BTC/USDT,30m,base,full,local,bos,0,deep,zero,208,67,67,0.3582,0.1791,0.6418,0.3222,0.3156,27,-0.1798,-0.2821,40,0.6610,0.7191,40,0.4764,0.5355,27,0.0937,-0.0101,0.1611,0.1524,0.2037,0.3881,0.2388,0.1940,-0.5827,-0.9080
BTC/USDT,30m,base,full,local,bos,0,deep,zero200,208,67,67,0.3582,0.2239,0.6418,0.3222,0.3143,27,-0.1798,-0.2435,40,0.6610,0.6908,40,0.4764,0.4677,27,0.0937,0.0872,0.1611,0.1513,0.1961,0.3881,0.2388,0.1940,-0.5827,-0.9080
BTC/USDT,30m,base,full,local,bos,0,breaker,zero,115,66,65,0.6970,0.3788,0.2879,-0.0022,0.1239,23,0.0422,0.1359,43,-0.0264,0.1174,48,0.0200,0.1867,18,-0.0600,-0.0400,-0.0527,0.0721,0.2051,0.7121,0.5000,0.3939,-0.3307,-0.8362
BTC/USDT,30m,base,full,local,bos,0,breaker161,zero,80,31,30,0.6452,0.3871,0.3226,-0.0600,0.0853,10,-0.0130,0.0550,21,-0.0835,0.1005,25,-0.1187,0.0175,6,0.1750,0.3567,-0.0923,0.0525,0.2222,0.6452,0.4839,0.3871,-0.4523,-0.8692
BTC/USDT,30m,base,full,local,bos,0,oteCombo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,bos,0,deepCombo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,bos,0,breakerCombo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,bos,0,breaker161Combo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,bos,0,fade141c,far,208,108,107,0.6944,0.6296,0.2963,-0.0089,0.0587,65,-0.0290,0.0425,43,0.0211,0.0828,78,0.0126,0.0768,30,-0.0642,0.0121,-0.0519,0.0155,0.1842,,,,-0.1904,-0.7383
BTC/USDT,30m,base,full,local,bos,0,fade241nc,zoneAtr,208,33,33,0.3939,0.3333,0.6061,-0.1302,-0.0734,24,-0.0284,0.0504,9,-0.4016,-0.4034,22,-0.1664,-0.1553,11,-0.0578,0.0905,-0.2301,-0.1735,0.3182,,,,-0.3501,-0.8502
BTC/USDT,30m,base,full,local,bos,0,fade141cInv,far,108,61,60,0.6230,0.5738,0.3607,-0.1170,-0.0572,31,-0.2539,-0.1926,30,0.0199,0.0783,45,-0.0769,-0.0229,16,-0.2273,-0.1513,-0.1597,-0.1000,0.1250,,,,-0.1381,-0.8702
BTC/USDT,30m,base,full,local,bos,0,fade241ncInv,zoneAtr,108,20,20,0.3000,0.2500,0.7000,-0.2959,-0.2316,12,-0.2753,-0.1668,8,-0.3269,-0.3288,13,-0.4081,-0.3862,7,-0.0875,0.0555,-0.4146,-0.3505,0.2667,,,,-0.3081,-0.8502
BTC/USDT,30m,base,full,local,bos,0,fade141cCombo,far,83,36,35,0.6111,0.6111,0.3611,-0.1258,-0.0584,19,-0.2096,-0.1327,17,-0.0369,0.0202,25,-0.0613,0.0039,11,-0.2665,-0.1944,-0.1742,-0.1068,0.1538,,,,-0.1381,-0.8702
BTC/USDT,30m,base,full,local,bos,0,fade241ncCombo,zoneAtr,99,11,11,0.3636,0.2727,0.6364,-0.0683,-0.0059,5,-0.0274,0.1130,6,-0.1025,-0.1051,6,-0.3565,-0.4090,5,0.2774,0.4777,-0.1767,-0.1145,0.5000,,,,-0.3235,-0.8502
BTC/USDT,30m,base,full,local,bos,5,ote,zero,142,64,63,0.5625,0.2031,0.4219,0.0251,0.0114,27,-0.0034,-0.1091,37,0.0464,0.1019,42,0.0938,0.1290,22,-0.1031,-0.2076,-0.0059,-0.0203,0.0435,0.5625,0.2969,0.2031,-0.2909,-0.8992
BTC/USDT,30m,base,full,local,bos,5,ote,zero200,142,64,63,0.5625,0.2969,0.4219,0.0251,0.0312,27,-0.0034,-0.0523,37,0.0464,0.0938,42,0.0938,0.1155,22,-0.1031,-0.1260,-0.0059,-0.0004,0.0500,0.5625,0.2969,0.2031,-0.2909,-0.8992
BTC/USDT,30m,base,full,local,bos,5,deep,zero,142,26,26,0.3077,0.0769,0.6923,0.1357,-0.0741,13,-0.4321,-0.6391,13,0.7036,0.4909,14,0.0546,-0.1402,12,0.2304,0.0031,0.0480,-0.1628,0.0870,0.3077,0.1538,0.0769,-0.4722,-0.9856
BTC/USDT,30m,base,full,local,bos,5,deep,zero200,142,26,26,0.3077,0.1538,0.6923,0.1357,0.0475,13,-0.4321,-0.4762,13,0.7036,0.5713,14,0.0546,-0.0273,12,0.2304,0.1348,0.0480,-0.0411,0.0952,0.3077,0.1538,0.0769,-0.4722,-0.9856
BTC/USDT,30m,base,full,local,bos,5,breaker,zero,69,31,30,0.7419,0.3548,0.2258,0.0810,0.1823,10,0.1280,0.2460,21,0.0575,0.1505,23,-0.0386,0.0780,8,0.4100,0.4694,0.0564,0.1569,0.1111,0.7419,0.5161,0.3548,-0.2281,-0.8011
BTC/USDT,30m,base,full,local,bos,5,breaker161,zero,57,20,19,0.6500,0.3500,0.3000,-0.0353,0.0842,6,-0.0600,0.0383,14,-0.0238,0.1054,16,-0.1540,-0.0890,4,0.4100,0.7337,-0.0562,0.0628,0.1667,0.6500,0.5000,0.3500,-0.2281,-0.8692
BTC/USDT,30m,base,full,local,bos,5,oteCombo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,bos,5,deepCombo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,bos,5,breakerCombo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,bos,5,breaker161Combo,zero,0,0,0,,,,,,0,,,0,,,0,,,0,,,,,,,,,,
BTC/USDT,30m,base,full,local,bos,5,fade141c,far,142,71,70,0.6479,0.5775,0.3380,-0.0485,0.0184,41,-0.0570,0.0078,30,-0.0370,0.0325,50,-0.0271,0.0392,21,-0.0983,-0.0303,-0.0782,-0.0115,0.0714,,,,-0.1545,-0.5785
BTC/USDT,30m,base,full,local,bos,5,fade241nc,zoneAtr,142,16,16,0.3125,0.1875,0.6875,-0.1742,-0.1999,9,-0.1303,-0.1742,7,-0.2307,-0.2329,11,-0.3175,-0.4399,5,0.1409,0.3280,-0.2401,-0.2663,0.1538,,,,-0.3904,-0.8502
BTC/USDT,30m,base,full,local,bos,5,fade141cInv,far,67,41,40,0.5610,0.4878,0.4146,-0.1849,-0.1324,20,-0.3305,-0.2817,21,-0.0531,0.0025,30,-0.1670,-0.1238,11,-0.2321,-0.1554,-0.2123,-0.1600,0.0526,,,,-0.1545,-0.5517
BTC/USDT,30m,base,full,local,bos,5,fade241ncInv,zoneAtr,67,10,10,0.3000,0.2000,0.7000,-0.2489,-0.2160,4,-0.4685,-0.3824,6,-0.1025,-0.1051,8,-0.4705,-0.4968,2,0.6376,0.9073,-0.3211,-0.2885,0.0000,,,,-0.8129,-0.8502
