symbol,timeframe,scenario,entryAt,chopCut,alignCut,netRCanon,netRT100
BTC/USDT,15m,ote,1765987200000,true,false,0.24742937430786632,0.13429583660910585
BTC/USDT,15m,deep,1765988100000,true,false,-1.3286899245099233,-1.3286899245099233
BTC/USDT,15m,ote,1765986300000,true,false,-1.077991764785791,0.20467841462562653
BTC/USDT,15m,deep,1765988100000,true,false,-1.1597348877529639,-1.1597348877529639
BTC/USDT,15m,ote,1766113200000,true,true,-1.0306307374894967,-1.0306307374894967
BTC/USDT,15m,deep,1766154600000,true,true,-1.0637658630019493,-1.0637658630019493
BTC/USDT,15m,ote,1766322000000,true,false,0.14783270939011106,0.04236045360809701
BTC/USDT,15m,deep,1766323800000,true,false,-1.5493829774206838,-1.5493829774206838
BTC/USDT,15m,ote,1766693700000,true,false,-1.191479698387507,0.10740304296702236
BTC/USDT,15m,deep,1766702700000,true,false,-1.393246709247586,-1.393246709247586
BTC/USDT,15m,ote,1766714400000,true,false,-1.1225050420141347,-1.1225050420141347
BTC/USDT,15m,deep,1766714400000,true,false,-1.2528056623641644,-1.2528056623641644
BTC/USDT,15m,ote,1767733200000,true,false,0.33552724147899016,0.21552279718436335
BTC/USDT,15m,deep,1767734100000,true,false,1.2180633816818975,1.5003092109604907
BTC/USDT,15m,ote,1767972600000,true,false,-1.043807093152933,0.23545182637055243
BTC/USDT,15m,ote,1767888000000,true,true,0.2515214675022022,0.1379790058211762
BTC/USDT,15m,deep,1767894300000,true,true,1.045213804860572,1.3407557554331304
BTC/USDT,15m,ote,1767887100000,false,false,-1.032135486131912,-1.032135486131912
BTC/USDT,15m,ote,1768164300000,true,true,0.1892896519185453,0.08053425297472082
BTC/USDT,15m,deep,1768173300000,true,true,-1.4627607068643145,-1.4627607068643145
BTC/USDT,15m,ote,1768206600000,true,false,-1.1666615444277761,0.1286757463610795
BTC/USDT,15m,deep,1768206600000,true,false,-1.3421810835608088,1.3230940749732654
BTC/USDT,15m,ote,1768203000000,true,false,-1.0844259800633398,-1.0844259800633398
BTC/USDT,15m,deep,1768206600000,true,false,-1.172973875208863,-1.172973875208863
BTC/USDT,15m,ote,1768415400000,true,false,-1.0599722154674855,0.22012374261274711
BTC/USDT,15m,ote,1768462200000,true,false,0.3059992809646226,0.18826621824802325
BTC/USDT,15m,ote,1768596300000,true,false,1.3835146583428681,0.2251749636863768
BTC/USDT,15m,ote,1768707900000,true,false,1.1827722832622505,0.02443258860576658
BTC/USDT,15m,ote,1768777200000,true,false,0.010000298216318537,-0.08486946439847731
BTC/USDT,15m,deep,1768777200000,true,false,0.5504828125602713,0.8837052381748478
BTC/USDT,15m,ote,1768925700000,true,false,1.230198569943698,0.07185887528718476
BTC/USDT,15m,ote,1769023800000,false,false,1.417244265235008,0.2589045705785182
BTC/USDT,15m,deep,1769022900000,false,false,-1.1161702447488724,-1.1161702447488724
BTC/USDT,15m,ote,1769195700000,true,false,-1.0464654279892223,-1.0464654279892223
BTC/USDT,15m,deep,1769200200000,true,false,-1.1526375211770894,-1.1526375211770894
BTC/USDT,15m,ote,1769415300000,true,false,0.22799720573481227,0.11626430265127753
BTC/USDT,15m,ote,1769390100000,true,false,1.4000817312673894,0.2417420366108994
BTC/USDT,15m,ote,1769784300000,true,false,0.2955595408634667,0.17862953507773016
BTC/USDT,15m,deep,1769799600000,true,false,3.807787996259337,1.4243979439033516
BTC/USDT,15m,ote,1770003900000,true,false,0.3647461409714133,0.24249408902352554
BTC/USDT,15m,deep,1770031800000,true,false,3.9391951674672425,1.5558051151112258
BTC/USDT,15m,ote,1770087600000,false,false,-1.0350441693980246,0.2414906392437116
BTC/USDT,15m,ote,1770132600000,true,false,0.284646952290023,0.1685563763945488
BTC/USDT,15m,ote,1770149700000,true,false,1.406480934007025,0.248141239350535
BTC/USDT,15m,ote,1770229800000,false,false,1.4030268329261921,0.24468713826970492
BTC/USDT,15m,ote,1770301800000,true,true,0.334439868904255,0.21451906865383874
BTC/USDT,15m,ote,1770818400000,true,false,0.37476580001511534,0.25174300506386427
BTC/USDT,15m,ote,1770825600000,true,false,0.3491717396876372,0.22811771860772895
BTC/USDT,15m,deep,1770844500000,true,false,1.2461381868965467,1.5262244157740106
BTC/USDT,15m,ote,1770936300000,true,false,-1.0449798588079693,-1.0449798588079693
BTC/USDT,15m,ote,1771144200000,true,false,-1.0890732718557545,0.19517997999423864
BTC/USDT,15m,deep,1771159500000,true,false,-1.1825361038707394,-1.1825361038707394
BTC/USDT,15m,ote,1771244100000,true,false,1.3709177774680934,0.21257808281160595
BTC/USDT,15m,ote,1771244100000,false,false,0.3456063496347096,0.22482658932810706
BTC/USDT,15m,deep,1771246800000,false,false,3.9028426680939505,1.5194526157379307
BTC/USDT,15m,ote,1771274700000,true,false,0.3427300985548154,0.22217158833127865
BTC/USDT,15m,ote,1771344000000,true,false,0.3405757219809197,0.22018293303230188
BTC/USDT,15m,ote,1771344000000,true,false,0.3699319982670818,0.24728103421952657
BTC/USDT,15m,ote,1771599600000,true,false,0.3046743496069953,0.18704320468713304
BTC/USDT,15m,deep,1771599600000,true,false,1.1545807298196433,1.4417098400107193
BTC/USDT,15m,ote,1771839000000,true,false,0.36169530409935546,0.2396779319108538
BTC/USDT,15m,ote,1771839900000,true,false,0.37841459721394194,0.25511112555508986
BTC/USDT,15m,ote,1771871400000,true,false,0.3418620493790374,0.2213703121690241
BTC/USDT,15m,deep,1771981200000,true,false,-1.1246804286413796,1.5123410088085003
BTC/USDT,15m,ote,1772062200000,true,false,0.379884187304491,0.25656181783675547
BTC/USDT,15m,ote,1772304300000,true,false,-1.0229199281384753,-1.0229199281384753
BTC/USDT,15m,ote,1772971200000,true,true,-1.1252658112660296,0.16415780335684532
BTC/USDT,15m,deep,1772972100000,true,true,-1.2570055697777438,1.3961016582158885
BTC/USDT,15m,ote,1773034200000,true,false,-1.0162615268144195,-1.0162615268144195
BTC/USDT,15m,deep,1773026100000,true,false,-1.1307343522591522,-1.1307343522591522
BTC/USDT,15m,ote,1773229500000,true,false,1.3447459088899412,0.18756397504771394
BTC/USDT,15m,ote,1773145800000,true,false,-1.1022237892046287,0.18390810798091825
BTC/USDT,15m,deep,1773149400000,true,false,-1.209594498206384,1.4367397195628486
BTC/USDT,15m,ote,1773612000000,true,false,0.2216592770203232,0.1105080544975149
BTC/USDT,15m,ote,1774263600000,true,false,-1.0828543171015477,-1.0828543171015477
BTC/USDT,15m,deep,1774263600000,true,false,-1.1712206629366915,-1.1712206629366915
BTC/USDT,15m,ote,1774263600000,true,false,0.38232743979272016,0.2587229802431919
BTC/USDT,15m,deep,1774263600000,true,false,-1.0825129977433638,-1.0825129977433638
BTC/USDT,15m,ote,1774280700000,false,false,-1.0303553296563495,0.24550964473657622
BTC/USDT,15m,ote,1774809000000,true,false,1.2646413844603195,0.1063016898038455
BTC/USDT,15m,deep,1774815300000,true,false,3.6589668277115788,1.2755767753555716
BTC/USDT,15m,ote,1775514600000,true,false,1.397278999702915,0.2400970658606777
BTC/USDT,15m,ote,1775592000000,true,false,-1.1734958835756026,0.12429000600826702
BTC/USDT,15m,ote,1775520000000,false,false,0.32401544074539523,0.2048965195841229
BTC/USDT,15m,ote,1775696400000,false,false,1.414076512214683,0.25689457837244256
BTC/USDT,15m,ote,1775860200000,true,false,-1.073524153483837,0.20850779574159287
BTC/USDT,15m,ote,1776192300000,false,true,0.3689510660061773,0.24646970586908212
BTC/USDT,15m,ote,1776211200000,true,false,0.32761989391822016,0.20822370712827082
BTC/USDT,15m,ote,1776347100000,true,false,-1.138265920967081,-1.138265920967081
BTC/USDT,15m,deep,1776347100000,true,false,-1.283754486597184,-1.283754486597184
BTC/USDT,15m,ote,1776298500000,true,false,-1.102099155820566,0.1840149365958141
BTC/USDT,15m,deep,1776347100000,true,false,-1.2093380535993834,-1.2093380535993834
BTC/USDT,15m,ote,1776374100000,true,true,1.3717154937095044,0.214533559867265
BTC/USDT,15m,ote,1776612600000,true,false,-1.1314898278759558,0.15882293197692593
BTC/USDT,15m,deep,1776618000000,true,false,-1.2698120542159688,-1.2698120542159688
BTC/USDT,15m,ote,1776666600000,true,false,-1.0782099946742412,0.20596362506657354
BTC/USDT,15m,ote,1776726900000,true,false,0.34730727689123464,0.22649082360913309
BTC/USDT,15m,ote,1776938400000,true,false,0.36261478466809455,0.24062083078777344
BTC/USDT,15m,ote,1776899700000,false,false,0.3674418280311689,0.24507656312292003
BTC/USDT,15m,ote,1776945600000,true,false,-1.13806008907998,0.15466354414736594
BTC/USDT,15m,deep,1776955500000,true,false,-1.2848115969027896,-1.2848115969027896
BTC/USDT,15m,ote,1777464900000,false,false,-1.0749503848207838,-1.0749503848207838
BTC/USDT,15m,ote,1777555800000,true,false,-1.07979294643258,0.20460680927371494
BTC/USDT,15m,ote,1777509000000,false,false,-1.0612884900306672,0.2204677719039186
BTC/USDT,15m,ote,1777770000000,true,false,1.201171114208916,0.04398918036667318
BTC/USDT,15m,deep,1777770900000,true,false,3.5298515596027196,1.1488437061995285
BTC/USDT,15m,ote,1777843800000,true,false,1.0711449542090703,-0.08603697963315865
BTC/USDT,15m,deep,1777843800000,true,false,3.26231082201112,0.8813029686081189
BTC/USDT,15m,ote,1777858200000,true,true,-1.1539697411323295,-1.1539697411323295
BTC/USDT,15m,deep,1777858200000,true,true,-1.317547163691127,-1.317547163691127
BTC/USDT,15m,ote,1777888800000,true,false,-1.120685005374315,0.16808420840689642
BTC/USDT,15m,deep,1777888800000,true,false,-1.247580141948197,1.4041805963555436
BTC/USDT,15m,ote,1778076000000,true,false,-1.1435819742348043,0.14845823509789713
BTC/USDT,15m,deep,1778108400000,true,false,-1.2946927532684762,1.3637983580810467
BTC/USDT,15m,ote,1778465700000,false,false,-1.0566887198195947,0.22293816745380116
