htf,symbol,timeframe,scenario,entryAt,direction,htfTrend,trendAligned,pdZone,pdAligned,netR
1h,BTC/USDT,30m,ote,1748406600000,short,bearish,true,premium,true,1.3407980684791019
1h,BTC/USDT,30m,breaker,1748514600000,short,bullish,false,premium,true,0.8715513016029358
1h,BTC/USDT,30m,ote,1748478600000,short,bearish,true,premium,true,1.3801294115444547
1h,BTC/USDT,30m,ote,1748631600000,short,bearish,true,premium,true,0.2977241125133919
1h,BTC/USDT,30m,ote,1748919600000,long,range,,premium,false,-1.0636131763349181
1h,BTC/USDT,30m,breaker,1749043800000,short,bullish,false,discount,false,0.026750230829424994
1h,BTC/USDT,30m,breaker,1749130200000,long,bearish,false,premium,false,-1.1621879256965928
1h,BTC/USDT,30m,breaker,1749207600000,short,range,,premium,true,-1.0505971414845063
1h,BTC/USDT,30m,breaker,1749193200000,short,range,,premium,true,-1.0417058891946327
1h,BTC/USDT,30m,breaker,1749378600000,short,range,,discount,false,-1.2253631691322262
1h,BTC/USDT,30m,breaker,1749749400000,short,bearish,true,premium,true,0.8481404018799164
1h,BTC/USDT,30m,ote,1750116600000,long,bullish,true,premium,false,-1.0322975776208116
1h,BTC/USDT,30m,ote,1750186800000,short,bearish,true,discount,false,0.35937464688446885
1h,BTC/USDT,30m,breaker,1750428000000,long,bullish,true,discount,true,0.09361021483261552
1h,BTC/USDT,30m,breaker,1750426200000,long,bullish,true,premium,false,-1.0705184772650564
1h,BTC/USDT,30m,breaker,1750498200000,short,range,,premium,true,0.8628062519591737
1h,BTC/USDT,30m,breaker,1750548600000,short,bullish,false,discount,false,0.1262252140568437
1h,BTC/USDT,30m,ote,1750687200000,short,range,,premium,true,-1.0183455550281346
1h,BTC/USDT,30m,breaker,1750825800000,long,bullish,true,premium,false,0.8235120091941558
1h,BTC/USDT,30m,breaker,1751212800000,long,bullish,true,discount,true,-0.11189243881712532
1h,BTC/USDT,30m,breaker,1751211000000,long,bullish,true,discount,true,0.10292954894748226
1h,BTC/USDT,30m,ote,1751261400000,long,bullish,true,premium,false,-1.1481276129360791
1h,BTC/USDT,30m,deep,1751265000000,long,bullish,true,discount,true,-1.3040458213815693
1h,BTC/USDT,30m,ote,1751297400000,short,range,,discount,false,0.28457725706798703
1h,BTC/USDT,30m,deep,1751468400000,short,bullish,false,premium,true,-1.2516159611808015
1h,BTC/USDT,30m,ote,1751378400000,short,bearish,true,premium,true,1.2807903709926327
1h,BTC/USDT,30m,deep,1751443200000,short,bearish,true,premium,true,-1.3621393450255082
1h,BTC/USDT,30m,breaker,1751376600000,short,bearish,true,discount,false,0.07769820090023885
1h,BTC/USDT,30m,ote,1751544000000,long,bullish,true,premium,false,0.24714189248364313
1h,BTC/USDT,30m,deep,1751545800000,long,bullish,true,discount,true,1.0384233703982892
1h,BTC/USDT,30m,breaker,1751826600000,long,range,,discount,true,0.7013783279974473
1h,BTC/USDT,30m,breaker,1752067800000,long,range,,premium,false,0.08028468173836927
1h,BTC/USDT,30m,breaker,1752544800000,long,range,,discount,true,0.07422585731925528
1h,BTC/USDT,30m,breaker,1752679800000,long,range,,premium,false,0.15030284429599144
1h,BTC/USDT,30m,ote,1752795000000,long,range,,premium,false,-1.0851910365790476
1h,BTC/USDT,30m,deep,1752847200000,long,range,,discount,true,-1.1745480490867306
1h,BTC/USDT,30m,ote,1752892200000,short,bearish,true,premium,true,0.34191382326469194
1h,BTC/USDT,30m,breaker,1753030800000,long,range,,premium,false,-0.13078062500000845
1h,BTC/USDT,30m,breaker,1753063200000,short,bearish,true,premium,true,-1.1433062656858504
1h,BTC/USDT,30m,breaker,1753475400000,short,range,,premium,true,-1.0749754411365489
1h,BTC/USDT,30m,breaker,1753439400000,short,range,,discount,false,0.16541868753111946
1h,BTC/USDT,30m,breaker,1753722000000,long,bullish,true,discount,true,-0.10023099730592484
1h,BTC/USDT,30m,breaker,1753599600000,long,bearish,false,premium,false,-0.10877313265306718
1h,BTC/USDT,30m,ote,1753707600000,long,bullish,true,discount,true,-1.0432273831212504
1h,BTC/USDT,30m,ote,1753729200000,short,bullish,false,discount,false,0.2999156323570225
1h,BTC/USDT,30m,deep,1753774200000,short,range,,premium,true,3.816061587674495
1h,BTC/USDT,30m,ote,1753912800000,short,range,,premium,true,-1.114235094111637
1h,BTC/USDT,30m,deep,1753921800000,short,range,,premium,true,-1.235789486837035
1h,BTC/USDT,30m,ote,1754249400000,short,bullish,false,premium,true,0.2894969936697448
1h,BTC/USDT,30m,deep,1754316000000,short,range,,premium,true,1.1233519293832774
