ladder,symbol,timeframe,scenario,entryAt,direction,netR
canon,BTC/USDT,15m,ote,1765987200000,long,0.24742937430786632
t100-241,BTC/USDT,15m,ote,1765987200000,long,-0.01325446793131986
t100-141-241,BTC/USDT,15m,ote,1765987200000,long,0.20971819507494624
t100-161-241,BTC/USDT,15m,ote,1765987200000,long,-0.06243790277812843
t100-only,BTC/USDT,15m,ote,1765987200000,long,0.13429583660910585
canon,BTC/USDT,15m,deep,1765988100000,long,-1.3286899245099233
t100-241,BTC/USDT,15m,deep,1765988100000,long,-1.3286899245099233
t100-141-241,BTC/USDT,15m,deep,1765988100000,long,-1.3286899245099233
t100-161-241,BTC/USDT,15m,deep,1765988100000,long,-1.3286899245099233
t100-only,BTC/USDT,15m,deep,1765988100000,long,-1.3286899245099233
canon,BTC/USDT,15m,ote,1765986300000,long,-1.077991764785791
t100-241,BTC/USDT,15m,ote,1765986300000,long,0.06299332491991777
t100-141-241,BTC/USDT,15m,ote,1765986300000,long,0.015764961684681507
t100-161-241,BTC/USDT,15m,ote,1765986300000,long,0.015764961684681507
t100-only,BTC/USDT,15m,ote,1765986300000,long,0.20467841462562653
canon,BTC/USDT,15m,deep,1765988100000,long,-1.1597348877529639
t100-241,BTC/USDT,15m,deep,1765988100000,long,-1.1597348877529639
t100-141-241,BTC/USDT,15m,deep,1765988100000,long,-1.1597348877529639
t100-161-241,BTC/USDT,15m,deep,1765988100000,long,-1.1597348877529639
t100-only,BTC/USDT,15m,deep,1765988100000,long,-1.1597348877529639
canon,BTC/USDT,15m,ote,1766113200000,short,-1.0306307374894967
t100-241,BTC/USDT,15m,ote,1766113200000,short,-1.0306307374894967
t100-141-241,BTC/USDT,15m,ote,1766113200000,short,-1.0306307374894967
t100-161-241,BTC/USDT,15m,ote,1766113200000,short,-1.0306307374894967
t100-only,BTC/USDT,15m,ote,1766113200000,short,-1.0306307374894967
canon,BTC/USDT,15m,deep,1766154600000,short,-1.0637658630019493
t100-241,BTC/USDT,15m,deep,1766154600000,short,-1.0637658630019493
t100-141-241,BTC/USDT,15m,deep,1766154600000,short,-1.0637658630019493
t100-161-241,BTC/USDT,15m,deep,1766154600000,short,-1.0637658630019493
t100-only,BTC/USDT,15m,deep,1766154600000,short,-1.0637658630019493
canon,BTC/USDT,15m,ote,1766322000000,long,0.14783270939011106
t100-241,BTC/USDT,15m,ote,1766322000000,long,-0.1128511328490711
t100-141-241,BTC/USDT,15m,ote,1766322000000,long,0.11267529079610636
t100-161-241,BTC/USDT,15m,ote,1766322000000,long,-0.1645883283347938
t100-only,BTC/USDT,15m,ote,1766322000000,long,0.04236045360809701
canon,BTC/USDT,15m,deep,1766323800000,long,-1.5493829774206838
t100-241,BTC/USDT,15m,deep,1766323800000,long,-1.5493829774206838
t100-141-241,BTC/USDT,15m,deep,1766323800000,long,-1.5493829774206838
t100-161-241,BTC/USDT,15m,deep,1766323800000,long,-1.5493829774206838
t100-only,BTC/USDT,15m,deep,1766323800000,long,-1.5493829774206838
canon,BTC/USDT,15m,ote,1766693700000,long,-1.191479698387507
t100-241,BTC/USDT,15m,ote,1766693700000,long,-0.042388327710242285
t100-141-241,BTC/USDT,15m,ote,1766693700000,long,-0.09231878460266384
t100-161-241,BTC/USDT,15m,ote,1766693700000,long,-0.09231878460266384
t100-only,BTC/USDT,15m,ote,1766693700000,long,0.10740304296702236
canon,BTC/USDT,15m,deep,1766702700000,long,-1.393246709247586
t100-241,BTC/USDT,15m,deep,1766702700000,long,-1.393246709247586
t100-141-241,BTC/USDT,15m,deep,1766702700000,long,-1.393246709247586
t100-161-241,BTC/USDT,15m,deep,1766702700000,long,-1.393246709247586
t100-only,BTC/USDT,15m,deep,1766702700000,long,-1.393246709247586
canon,BTC/USDT,15m,ote,1766714400000,short,-1.1225050420141347
t100-241,BTC/USDT,15m,ote,1766714400000,short,-1.1225050420141347
t100-141-241,BTC/USDT,15m,ote,1766714400000,short,-1.1225050420141347
t100-161-241,BTC/USDT,15m,ote,1766714400000,short,-1.1225050420141347
t100-only,BTC/USDT,15m,ote,1766714400000,short,-1.1225050420141347
canon,BTC/USDT,15m,deep,1766714400000,short,-1.2528056623641644
t100-241,BTC/USDT,15m,deep,1766714400000,short,-1.2528056623641644
t100-141-241,BTC/USDT,15m,deep,1766714400000,short,-1.2528056623641644
t100-161-241,BTC/USDT,15m,deep,1766714400000,short,-1.2528056623641644
t100-only,BTC/USDT,15m,deep,1766714400000,short,-1.2528056623641644
canon,BTC/USDT,15m,ote,1767733200000,short,0.33552724147899016
t100-241,BTC/USDT,15m,ote,1767733200000,short,0.07458258499044199
t100-141-241,BTC/USDT,15m,ote,1767733200000,short,0.027602514259134854
t100-161-241,BTC/USDT,15m,ote,1767733200000,short,0.027602514259134854
t100-only,BTC/USDT,15m,ote,1767733200000,short,0.21552279718436335
canon,BTC/USDT,15m,deep,1767734100000,short,1.2180633816818975
t100-241,BTC/USDT,15m,deep,1767734100000,short,0.6811458424148858
t100-141-241,BTC/USDT,15m,deep,1767734100000,short,1.3121453247747616
t100-161-241,BTC/USDT,15m,deep,1767734100000,short,1.4867526546176915
t100-only,BTC/USDT,15m,deep,1767734100000,short,1.5003092109604907
canon,BTC/USDT,15m,ote,1767972600000,short,-1.043807093152933
t100-241,BTC/USDT,15m,ote,1767972600000,short,0.0961723666088097
t100-141-241,BTC/USDT,15m,ote,1767972600000,short,0.04974588002156213
t100-161-241,BTC/USDT,15m,ote,1767972600000,short,0.04974588002156213
t100-only,BTC/USDT,15m,ote,1767972600000,short,0.23545182637055243
canon,BTC/USDT,15m,ote,1767888000000,short,0.2515214675022022
t100-241,BTC/USDT,15m,ote,1767888000000,short,-0.0094231889863481
t100-141-241,BTC/USDT,15m,ote,1767888000000,short,-0.05855725392218955
t100-161-241,BTC/USDT,15m,ote,1767888000000,short,-0.05855725392218955
