symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be,sweep_in,sweep_ev_full,sweep_ev_be,nosweep_in,nosweep_ev_full,nosweep_ev_be,ev_full_net,ev_be_net,stop_tp_pct,ext141_pct,ext200_pct,ext241_pct,win_mae_med,win_mae_p90
BTC/USDT,15m,base,full,local,bos,0,ote,zero,245,135,134,0.6000,0.3926,0.3926,0.0844,0.2530,65,-0.0065,0.2187,70,0.1699,0.2854,99,0.1166,0.2912,36,-0.0034,0.1491,-0.0402,0.1266,0.2000,0.6222,0.5037,0.4000,-0.2605,-0.8196
BTC/USDT,15m,base,full,local,bos,0,ote,zero200,245,135,134,0.6000,0.4963,0.3926,0.0844,0.2306,65,-0.0065,0.1420,70,0.1699,0.3140,99,0.1166,0.2793,36,-0.0034,0.0979,-0.0402,0.1050,0.1791,0.6222,0.5037,0.4000,-0.2605,-0.8196
BTC/USDT,15m,base,full,local,bos,0,deep,zero,245,69,69,0.3768,0.2899,0.6232,0.3908,0.6532,35,0.2655,0.6384,34,0.5199,0.6685,51,0.5199,0.7986,18,0.0253,0.2414,0.0367,0.2978,0.3265,0.4348,0.3188,0.3043,-0.4401,-0.8696
BTC/USDT,15m,base,full,local,bos,0,deep,zero200,245,69,69,0.3768,0.3043,0.6232,0.3908,0.5284,35,0.2655,0.4698,34,0.5199,0.5887,51,0.5199,0.6717,18,0.0253,0.1222,0.0367,0.1731,0.3333,0.4348,0.3188,0.3043,-0.4401,-0.8696
BTC/USDT,15m,base,full,local,bos,0,breaker,zero,132,81,81,0.8148,0.5062,0.1852,0.1489,0.3387,43,0.1149,0.3463,38,0.1874,0.3301,56,0.2086,0.4105,25,0.0152,0.1778,0.0261,0.2131,0.2250,0.8519,0.6296,0.5185,-0.2069,-0.7383
BTC/USDT,15m,base,full,local,bos,0,breaker161,zero,91,35,35,0.8286,0.5429,0.1714,0.1683,0.3811,19,0.1132,0.3595,16,0.2337,0.4069,27,0.2011,0.3920,8,0.0575,0.3444,0.0670,0.2783,0.3125,0.8571,0.6571,0.5429,-0.2140,-0.8059
BTC/USDT,15m,base,full,local,bos,5,ote,zero,164,79,78,0.5443,0.3291,0.4430,-0.0111,0.1145,34,-0.2086,-0.0191,45,0.1416,0.2177,54,0.0154,0.1221,25,-0.0672,0.0983,-0.0853,0.0390,0.0784,0.5696,0.4557,0.3291,-0.3029,-0.8233
BTC/USDT,15m,base,full,local,bos,5,ote,zero200,164,79,78,0.5443,0.4557,0.4430,-0.0111,0.1265,34,-0.2086,-0.0884,45,0.1416,0.2926,54,0.0154,0.1550,25,-0.0672,0.0662,-0.0853,0.0518,0.0714,0.5696,0.4557,0.3291,-0.3029,-0.8233
BTC/USDT,15m,base,full,local,bos,5,deep,zero,164,25,25,0.3200,0.2400,0.6800,0.1812,0.3876,11,0.0067,0.3636,14,0.3182,0.4065,17,0.5199,0.7465,8,-0.5386,-0.3750,-0.0209,0.1848,0.1053,0.4000,0.2800,0.2400,-0.5048,-0.9424
BTC/USDT,15m,base,full,local,bos,5,deep,zero200,164,25,25,0.3200,0.2800,0.6800,0.1812,0.3436,11,0.0067,0.2173,14,0.3182,0.4428,17,0.5199,0.7133,8,-0.5386,-0.4421,-0.0209,0.1412,0.1111,0.4000,0.2800,0.2400,-0.5048,-0.9424
BTC/USDT,15m,base,full,local,bos,5,breaker,zero,66,31,31,0.7742,0.3226,0.2258,0.0916,0.1603,14,0.0071,0.2132,17,0.1612,0.1168,18,0.0967,0.1331,13,0.0846,0.1981,0.0217,0.0879,0.0952,0.8387,0.4516,0.3226,-0.1767,-0.6245
BTC/USDT,15m,base,full,local,bos,5,breaker161,zero,56,15,15,0.8667,0.4000,0.1333,0.2220,0.3263,8,0.2337,0.4950,7,0.2086,0.1336,13,0.1931,0.2365,2,0.4100,0.9100,0.1626,0.2650,0.1111,0.9333,0.5333,0.4000,-0.1831,-0.8915
BTC/USDT,15m,base,full,local,choch,0,ote,zero,153,107,106,0.5514,0.2991,0.4393,-0.0015,0.0894,52,0.1256,0.2209,55,-0.1194,-0.0325,85,0.0464,0.1223,22,-0.1846,-0.0363,-0.1690,-0.0821,0.2432,0.5701,0.3832,0.3084,-0.2655,-0.8516
BTC/USDT,15m,base,full,local,choch,0,ote,zero200,153,107,106,0.5514,0.3738,0.4393,-0.0015,0.0690,52,0.1256,0.2096,55,-0.1194,-0.0615,85,0.0464,0.1183,22,-0.1846,-0.1193,-0.1690,-0.1012,0.2424,0.5701,0.3832,0.3084,-0.2655,-0.8516
BTC/USDT,15m,base,full,local,choch,0,deep,zero,153,74,73,0.2703,0.1216,0.7162,0.0113,-0.0301,36,-0.0509,-0.0935,38,0.0685,0.0282,56,0.0738,-0.0281,18,-0.1798,-0.0364,-0.3894,-0.4370,0.2344,0.2973,0.1622,0.1351,-0.3691,-0.8432
BTC/USDT,15m,base,full,local,choch,0,deep,zero200,153,74,73,0.2703,0.1486,0.7162,0.0113,-0.0383,36,-0.0509,-0.0943,38,0.0685,0.0134,56,0.0738,-0.0096,18,-0.1798,-0.1258,-0.3894,-0.4435,0.2419,0.2973,0.1622,0.1351,-0.3691,-0.8432
BTC/USDT,15m,base,full,local,choch,0,breaker,zero,96,67,67,0.8060,0.4925,0.1940,0.1364,0.3184,38,0.2616,0.4863,29,-0.0276,0.0984,55,0.1793,0.3539,12,-0.0600,0.1558,-0.0050,0.1731,0.3824,0.8358,0.6269,0.5075,-0.1352,-0.6309
BTC/USDT,15m,base,full,local,choch,0,breaker161,zero,48,20,20,0.9500,0.6000,0.0500,0.3395,0.5677,14,0.3093,0.5721,6,0.4100,0.5575,16,0.4100,0.6456,4,0.0575,0.2562,0.2324,0.4562,0.0000,0.9500,0.6500,0.6000,-0.1007,-0.5093
BTC/USDT,15m,base,full,local,choch,5,ote,zero,50,33,32,0.4242,0.3030,0.5455,-0.2152,-0.0660,16,-0.2824,-0.1657,17,-0.1558,0.0220,23,-0.0215,0.1376,10,-0.6412,-0.5140,-0.3015,-0.1536,0.0909,0.4242,0.3333,0.3030,-0.1934,-0.8516
BTC/USDT,15m,base,full,local,choch,5,ote,zero200,50,33,32,0.4242,0.3333,0.5455,-0.2152,-0.1234,16,-0.2824,-0.1838,17,-0.1558,-0.0700,23,-0.0215,0.0779,10,-0.6412,-0.5662,-0.3015,-0.2105,0.0952,0.4242,0.3333,0.3030,-0.1934,-0.8516
BTC/USDT,15m,base,full,local,choch,5,deep,zero,50,18,17,0.1111,0.0556,0.8333,-0.5658,-0.5679,10,-0.5899,-0.7394,8,-0.5386,-0.3750,10,-0.1798,-0.1838,8,-1.0000,-1.0000,-0.7896,-0.7923,0.0000,0.1111,0.0556,0.0556,-0.4266,-0.6947
BTC/USDT,15m,base,full,local,choch,5,deep,zero200,50,18,17,0.1111,0.0556,0.8333,-0.5658,-0.5995,10,-0.5899,-0.7394,8,-0.5386,-0.4421,10,-0.1798,-0.2435,8,-1.0000,-1.0000,-0.7896,-0.8239,0.0000,0.1111,0.0556,0.0556,-0.4266,-0.6947
BTC/USDT,15m,base,full,local,choch,5,breaker,zero,22,13,13,0.8462,0.6154,0.1538,0.1931,0.4535,8,0.2338,0.4950,5,0.1280,0.3870,9,0.4100,0.6750,4,-0.2950,-0.0450,0.1271,0.3862,0.2000,0.8462,0.6923,0.6154,-0.0507,-0.1132
BTC/USDT,15m,base,full,local,choch,5,breaker161,zero,16,7,7,0.8571,0.7143,0.1429,0.2086,0.5364,4,0.0575,0.4325,3,0.4100,0.6750,4,0.4100,0.7338,3,-0.0600,0.2733,0.1551,0.4823,0.0000,0.8571,0.8571,0.7143,-0.0364,-0.1132
BTC/USDT,15m,base,full,global,bos,0,ote,zero,245,107,105,0.5327,0.2710,0.4486,-0.0262,0.0437,52,-0.0151,0.1113,55,-0.0366,-0.0202,75,-0.0061,0.0392,32,-0.0741,0.0543,-0.0850,-0.0165,0.0405,0.5514,0.3925,0.2710,-0.2304,-0.8666
BTC/USDT,15m,base,full,global,bos,0,ote,zero200,245,107,105,0.5327,0.3832,0.4486,-0.0262,0.0599,52,-0.0151,0.0698,55,-0.0366,0.0505,75,-0.0061,0.0766,32,-0.0741,0.0199,-0.0850,0.0003,0.0317,0.5514,0.3925,0.2710,-0.2304,-0.8666
BTC/USDT,15m,base,full,global,bos,0,deep,zero,245,24,24,0.2083,0.1250,0.7917,-0.2310,-0.1795,11,-0.3289,-0.3322,13,-0.1482,-0.0503,14,-0.2091,-0.1182,10,-0.2618,-0.2654,-0.4047,-0.3539,0.1000,0.2917,0.2083,0.1250,-0.1079,-0.7256
BTC/USDT,15m,base,full,global,bos,0,deep,zero200,245,24,24,0.2083,0.1667,0.7917,-0.2310,-0.1584,11,-0.3289,-0.3810,13,-0.1482,0.0300,14,-0.2091,-0.0436,10,-0.2618,-0.3191,-0.4047,-0.3323,0.1053,0.2917,0.2083,0.1250,-0.1079,-0.7256
BTC/USDT,15m,base,full,global,bos,0,breaker,zero,112,48,48,0.6250,0.3542,0.3750,-0.1187,0.0028,24,-0.1775,0.0554,24,-0.0600,-0.0498,33,-0.1027,0.0018,15,-0.1540,0.0050,-0.1698,-0.0495,0.0645,0.6667,0.4792,0.3542,-0.1712,-0.6245
BTC/USDT,15m,base,full,global,bos,0,breaker161,zero,93,30,30,0.6000,0.3667,0.4000,-0.1540,-0.0185,18,-0.1383,0.0889,12,-0.1775,-0.1796,23,-0.1417,-0.0520,7,-0.1943,0.0914,-0.1956,-0.0609,0.0526,0.6000,0.4667,0.3667,-0.1767,-0.6636
BTC/USDT,15m,base,full,global,bos,5,ote,zero,239,102,100,0.5392,0.2745,0.4412,-0.0134,0.0576,49,0.0091,0.1301,53,-0.0341,-0.0094,71,-0.0005,0.0439,31,-0.0433,0.0894,-0.0691,0.0005,0.0286,0.5588,0.3922,0.2745,-0.2304,-0.8666
BTC/USDT,15m,base,full,global,bos,5,ote,zero200,239,102,100,0.5392,0.3824,0.4412,-0.0134,0.0695,49,0.0091,0.0915,53,-0.0341,0.0492,71,-0.0005,0.0762,31,-0.0433,0.0539,-0.0691,0.0130,0.0167,0.5588,0.3922,0.2745,-0.2304,-0.8666
BTC/USDT,15m,base,full,global,bos,5,deep,zero,239,21,21,0.2381,0.1429,0.7619,-0.1212,-0.0623,9,-0.1798,-0.1838,12,-0.0772,0.0288,12,-0.0772,0.0288,9,-0.1798,-0.1838,-0.2816,-0.2236,0.0588,0.3333,0.2381,0.1429,-0.1079,-0.7256
BTC/USDT,15m,base,full,global,bos,5,deep,zero200,239,21,21,0.2381,0.1905,0.7619,-0.1212,-0.0381,9,-0.1798,-0.2435,12,-0.0772,0.1158,12,-0.0772,0.1158,9,-0.1798,-0.2435,-0.2816,-0.1989,0.0625,0.3333,0.2381,0.1429,-0.1079,-0.7256
BTC/USDT,15m,base,full,global,bos,5,breaker,zero,106,43,43,0.6512,0.3721,0.3488,-0.0819,0.0470,21,-0.1271,0.1152,22,-0.0386,-0.0182,29,-0.0762,0.0326,14,-0.0936,0.0768,-0.1278,-0.0002,0.0370,0.6977,0.4884,0.3721,-0.1767,-0.6636
BTC/USDT,15m,base,full,global,bos,5,breaker161,zero,90,28,28,0.6071,0.3571,0.3929,-0.1439,-0.0166,16,-0.1187,0.1056,12,-0.1775,-0.1796,21,-0.1271,-0.0526,7,-0.1943,0.0914,-0.1839,-0.0574,0.0000,0.6071,0.4643,0.3571,-0.1831,-0.6636
BTC/USDT,15m,base,full,global,choch,0,ote,zero,153,102,101,0.4804,0.2745,0.5098,-0.1297,-0.0359,49,-0.0657,0.0289,53,-0.1877,-0.0945,80,-0.1371,-0.0534,22,-0.1031,0.0272,-0.2438,-0.1523,0.1918,0.4902,0.3039,0.2843,-0.3523,-0.8058
BTC/USDT,15m,base,full,global,choch,0,ote,zero200,153,102,101,0.4804,0.2941,0.5098,-0.1297,-0.0929,49,-0.0657,-0.0311,53,-0.1877,-0.1489,80,-0.1371,-0.1032,22,-0.1031,-0.0558,-0.2438,-0.2092,0.1831,0.4902,0.3039,0.2843,-0.3523,-0.8058
BTC/USDT,15m,base,full,global,choch,0,deep,zero,153,61,60,0.2131,0.0820,0.7705,-0.2003,-0.2706,27,-0.4321,-0.5371,34,-0.0229,-0.0668,45,-0.1611,-0.2859,16,-0.3079,-0.2284,-0.4938,-0.5684,0.2000,0.2295,0.1148,0.0984,-0.4266,-0.7704
BTC/USDT,15m,base,full,global,choch,0,deep,zero200,153,61,60,0.2131,0.0984,0.7705,-0.2003,-0.2800,27,-0.4321,-0.5577,34,-0.0229,-0.0677,45,-0.1611,-0.2744,16,-0.3079,-0.2955,-0.4938,-0.5776,0.1852,0.2295,0.1148,0.0984,-0.4266,-0.7704
BTC/USDT,15m,base,full,global,choch,0,breaker,zero,92,58,58,0.8276,0.5172,0.1724,0.1669,0.3619,31,0.2735,0.4977,27,0.0444,0.2059,48,0.2044,0.3965,10,-0.0130,0.1960,0.0725,0.2647,0.2143,0.8448,0.5690,0.5345,-0.1307,-0.5337
