id,symbol,timeframe,scenario,direction,entryAt,exitAt,netR,status,equityBefore,equityAfter,pnl,openRiskPct
XRP/USDT|4h|breaker|107:low:85:0.2236:structural|109,XRP/USDT,4h,breaker,short,1579867200000,1580270400000,-1.0173510638297871,accepted,10000,9949.132446808511,-50.86755319148936,0.5
XRP/USDT|4h|ote|107:low:85:0.2236:structural|122,XRP/USDT,4h,ote,short,1580054400000,1580270400000,-1.0222657300633424,accepted,10000,9898.019160305344,-51.113286503167124,1
XRP/USDT|4h|deep|107:low:85:0.2236:structural|130,XRP/USDT,4h,deep,short,1580169600000,1580270400000,-1.0465540937952544,accepted,10000,9845.691455615583,-52.32770468976272,1.5
LTC/USDT|4h|breaker|110:high:68:58.32:structural|115,LTC/USDT,4h,breaker,long,1580212800000,1580342400000,0.19497393979057573,capacity-rejected,10000,10000,0,1.5
LINK/USDT|4h|ote|80:high:11:2.854:structural|91,LINK/USDT,4h,ote,long,1580558400000,1581408000000,1.4209918090391374,accepted,9845.691455615583,9915.644690179364,69.95323456378182,0.5
LTC/USDT|4h|ote|167:high:137:73:structural|169,LTC/USDT,4h,ote,long,1580990400000,1581523200000,1.4118335747790818,accepted,9845.691455615583,9985.147078999133,69.50238881976804,1
ADA/USDT|4h|breaker|70:high:40:0.06306:structural|92,ADA/USDT,4h,breaker,long,1581782400000,1581782400000,0.19158938311688317,accepted,9985.147078999133,9994.712319845117,9.565240845983958,0.5
ADA/USDT|4h|ote|70:high:40:0.06306:structural|97,ADA/USDT,4h,ote,long,1581854400000,1581868800000,-1.0171526948878093,accepted,9994.712319845117,9943.881576991324,-50.83074285379425,0.5
ADA/USDT|4h|deep|70:high:40:0.06306:structural|98,ADA/USDT,4h,deep,long,1581868800000,1581868800000,-1.0345529271775344,accepted,9943.881576991324,9892.444218026409,-51.43735896491565,0.5
LTC/USDT|4h|deep|167:high:137:73:structural|230,LTC/USDT,4h,deep,long,1581868800000,1581912000000,1.3072949099242201,accepted,9892.444218026409,10050.17539825287,64.66170986467603,0.5
XRP/USDT|4h|breaker|222:high:185:0.2888:structural|248,XRP/USDT,4h,breaker,long,1581868800000,1581868800000,0.1902889396887163,accepted,9892.444218026409,9901.856331632298,9.412113605890086,1
XRP/USDT|4h|deep|222:high:185:0.2888:structural|248,XRP/USDT,4h,deep,long,1581868800000,1581868800000,1.3087378002322458,accepted,9901.856331632298,9966.651000000678,64.79466836838094,1
XRP/USDT|4h|ote|222:high:185:0.2888:structural|248,XRP/USDT,4h,ote,long,1581868800000,1581868800000,0.37851608102890105,accepted,9966.651000000678,9985.513688388193,18.86268838751517,1
LTC/USDT|4h|ote|233:low:192:72.54:structural|239,LTC/USDT,4h,ote,short,1581998400000,1582142400000,0.38698904355635405,accepted,10050.17539825287,10069.621937077587,19.44653882471739,0.5
LINK/USDT|4h|ote|199:high:175:4.632:structural|201,LINK/USDT,4h,ote,long,1582142400000,1582560000000,-1.009523433217554,accepted,10069.621937077587,10018.79434053198,-50.82759654560681,0.5
LINK/USDT|4h|deep|199:high:175:4.632:structural|205,LINK/USDT,4h,deep,long,1582200000000,1582560000000,-1.0188550222748625,accepted,10069.621937077587,9967.496916116977,-51.29742441500314,1
LINK/USDT|4h|breaker|233:low:187:3.854:structural|248,LINK/USDT,4h,breaker,short,1582819200000,1583323200000,-1.0060158620689654,accepted,9967.496916116977,9917.359616103291,-50.13730001368587,0.5
LTC/USDT|4h|breaker|290:low:249:64.31:structural|296,LTC/USDT,4h,breaker,short,1582819200000,1583985600000,0.905561404565631,accepted,9967.496916116977,9981.61901077453,45.13090253681242,1
